"","Nazwa","dochody 2002","dochody 2003","dochody 2004","dochody 2005","dochody 2006","dochody 2007","dochody 2008","dochody 2009","dochody 2010","dochody 2011","dochody 2012","dochody 2013","dochody 2014","dochody 2015","dochody 2016","dochody 2017","dochody 2018","dochody 2019"
"1","Bolesławiec (1)",895,889,1006,1058,1232.2,1530.44,2004.42,1921.74,1860.45,2159.33,1977.49,2202.42,2436.19,2480.63,2457.47,2565.96,2562.22,2851.81
"2","Bolesławiec (2)",832,1121,969,1066,1046.51,1266.82,1300.83,1305.23,1436.28,1547.1,1577.54,1969.33,1855.29,2201.05,2055.6,2570.91,2403,2644.31
"3","Gromadka (2)",573,670,684,768,886.43,1082.36,1102.09,1198.21,1341.05,1788.72,1872.12,2641.47,2233.35,1992.94,2422.07,2702.39,5058.5,4803.28
"4","Nowogrodziec (3)",482,577,575,640,614.95,901.22,1351.43,1399.52,958.75,1022.86,1017.63,1085.48,1236.64,1218.53,1924.6,2084.57,2087.66,2572.25
"5","Osiecznica (2)",774,942,7184,2074,1509.89,3702.72,1730.24,1934.1,1710.74,1902.13,2015.39,2072.82,2172.12,2213.38,2285.53,2349.1,2679.87,2944.33
"6","Warta Bolesławiecka (2)",1331,1378,1339,1220,1264.32,1348.33,1444.95,1666.28,1398.19,1444.05,1594.92,2039.98,2158.87,1909.81,1894.83,1856.15,1942.65,2087.25
"7","Bielawa (1)",677,692,733,757,831.77,979.53,1079.7,1027.55,1198.52,1379.56,1403.73,1543.44,1702.71,1759.78,1925.97,2008.15,2040.56,2340.2
"8","Dzierżoniów (1)",559,624,794,975,1052.91,1365.28,1445.25,1401.73,1474.06,1380.14,1688.66,1740.75,1695.95,1612.99,1824,1832.7,2122.32,2456.9
"11","Piława Górna (1)",424,442,718,608,656.17,780.87,912.82,1061.27,1219.7,1212.23,1066.2,1243.91,1258.45,1315.57,1393.19,1400.91,1545.36,1750.14
"12","Dzierżoniów (2)",519,547,580,562,537.47,685.82,978.26,949.78,1238.67,1143.27,1258.1,1237.99,1382.77,1516.78,1319.37,1518.33,1737.54,1779.76
"13","Łagiewniki (2)",618,608,648,743,676.27,878.88,884.14,873.14,827.65,796.55,1040.92,1231.75,1500.62,1366.15,1254.17,1292.17,1523.39,1697.75
"14","Niemcza (3)",488,722,737,708,761.47,934.73,1438.98,1377.77,1326.91,1231.34,1173.28,1227.67,1390.16,1273.34,1232.13,1389.24,1389.26,2018.03
"15","Głogów (1)",1492,1074,1184,1324,1513.52,1862.49,2149.12,2005.99,2016.41,2181.62,2474.2,2397.8,2554.24,2645.02,2697.56,2831.19,3084.67,3271.13
"16","Głogów (2)",864,954,1097,1354,1346.71,1420.35,1679.02,1710.91,1825.81,1617.47,1773.43,1976.8,2263.96,2464.98,2578.61,2792.42,3149.6,3257.79
"17","Jerzmanowa (2)",2444,2553,2302,2329,3658.18,3440.01,3167.94,3338.9,4143.87,4440.47,4741.97,5829.66,6211.52,6357.04,6038.31,6608.08,7334.42,7383.84
"18","Kotla (2)",1392,1499,872,870,952.93,1071.71,1277.96,1110.32,1059.3,1209.85,1326.84,1525.62,1596.84,2000.4,1841.44,1885.49,1976.94,2107.79
"19","Pęcław (2)",478,504,510,654,666.5,822.07,941.66,1015.54,1026.78,1506.03,1228.85,1389.47,1506.26,1579.67,1185.25,1838.76,1338.88,1602.88
"20","Żukowice (2)",840,762,855,783,1028.84,1072.19,1291.14,988.6,1133.7,2015.41,1370.57,1741.3,2064.04,2225.28,2479.65,2514.43,3427.1,3014.89
"21","Góra (3)",584,663,802,834,845.98,869.17,1039.39,1175.19,1088.74,1075.19,1131.81,1309.32,1513.08,1506.92,1598.62,1719.28,1809.11,2064.7
"22","Jemielno (2)",458,463,527,514,652.23,707.32,905.59,733.5,870.79,1024.43,1314.5,1191.73,1350.45,1245.04,1142.63,1237.66,1271.51,1784.17
"23","Niechlów (2)",530,592,587,639,625.83,720.64,930.23,744.01,743.69,816.31,921.95,970.11,1118.68,1368.28,1396.66,1500.82,1550.64,1558.5
"24","Wąsosz (3)",543,595,620,670,662.26,709.31,970.1,977.03,1149.66,1181.24,1151.4,1381.7,1519.99,1438.89,1455.19,1582.39,1773.08,1792.22
"25","Jawor (1)",657,661,731,995,1102.13,1241.14,1297.67,1255.95,1315.83,1447,1540.38,1621.43,1749.44,1975.51,2024.51,2155.37,2158.67,2147.19
"26","Bolków (3)",487,411,493,501,532.78,667.14,684.09,686.31,636.24,717.06,838.61,1052.68,1068.44,1109.36,1130.41,1249.66,1336.18,1479.58
"27","Męcinka (2)",787,823,847,955,1027.08,1187.91,1506.64,1573.23,1420.47,1471.3,1535.05,1656.69,1753.12,1945.24,1775.34,2199.06,2522.45,2877.34
"28","Mściwojów (2)",495,503,644,653,675.42,854.77,1055.03,1087.22,1543.06,1074.93,1324.92,1497.9,1446.96,2051.61,1769.12,2033.45,1841.28,2020.4
"29","Paszowice (2)",479,537,612,681,692.16,788.54,1192.07,969.09,881.3,1032.46,1085.78,1314.05,1462.33,1678.26,1749.23,1686.22,1898.46,2331.4
