"";"gmina";"powiat";"score";"gminaType"
"1";"Rzeszów (1)";"m.Rzeszów";0;"cities"
"2";"Kraków (1)";"m.Kraków";0;"cities"
"3";"Wroc³aw (1)";"m.Wroc³aw";0;"cities"
"4";"Opole (1)";"m.Opole";0;"cities"
"5";"Poznañ (1)";"m.Poznañ";0;"cities"
"6";"Zielona Góra (1)";"m.Zielona Góra";0;"cities"
"7";"Gdañsk (1)";"m.Gdañsk";0;"cities"
"8";"Bia³ystok (1)";"m.Bia³ystok";0;"cities"
"9";"Skierniewice (1)";"m.Skierniewice";0;"cities"
"10";"Lublin (1)";"m.Lublin";0;"cities"
"11";"Szczecin (1)";"m.Szczecin";0;"cities"
"12";"Gorzów Wielkopolski (1)";"m.Gorzów Wielkopolski";0;"cities"
"13";"Toruñ (1)";"m.Toruñ";0;"cities"
"14";"Siedlce (1)";"m.Siedlce";0;"cities"
"15";"Olsztyn (1)";"m.Olsztyn";0;"cities"
"16";"Tychy (1)";"m.Tychy";0;"cities"
"17";"£om¿a (1)";"m.£om¿a";0;"cities"
"18";"Bielsko-Bia³a (1)";"m.Bielsko-Bia³a";0;"cities"
"19";"Nowy S¹cz (1)";"m.Nowy S¹cz";0;"cities"
"20";"Katowice (1)";"m.Katowice";0;"cities"
"21";"Gliwice (1)";"m.Gliwice";0;"cities"
"22";"Koszalin (1)";"m.Koszalin";0;"cities"
"23";"Sopot (1)";"m.Sopot";0;"cities"
"24";"Suwa³ki (1)";"m.Suwa³ki";0;"cities"
"25";"Leszno (1)";"m.Leszno";0;"cities"
"26";"Rybnik (1)";"m.Rybnik";0;"cities"
"27";"Mys³owice (1)";"m.Mys³owice";0;"cities"
"28";"Jaworzno (1)";"m.Jaworzno";0;"cities"
"29";"Ruda Œl¹ska (1)";"m.Ruda Œl¹ska";0;"cities"
"30";"Legnica (1)";"m.Legnica";0;"cities"
"31";"Œwinoujœcie (1)";"m.Œwinoujœcie";0;"cities"
"32";"Kielce (1)";"m.Kielce";0;"cities"
"33";"¯ory (1)";"m.¯ory";0;"cities"
"34";"Krosno (1)";"m.Krosno";0;"cities"
"35";"Bia³a Podlaska (1)";"m.Bia³a Podlaska";1;"cities"
"36";"Radom (1)";"m.Radom";1;"cities"
"37";"Kalisz (1)";"m.Kalisz";1;"cities"
"38";"D¹browa Górnicza (1)";"m.D¹browa Górnicza";1;"cities"
"39";"Jelenia Góra (1)";"m.Jelenia Góra";1;"cities"
"40";"S³upsk (1)";"m.S³upsk";1;"cities"
"41";"Siemianowice Œl¹skie (1)";"m.Siemianowice Œl¹skie";1;"cities"
"42";"P³ock (1)";"m.P³ock";1;"cities"
"43";"Gdynia (1)";"m.Gdynia";1;"cities"
"44";"Grudzi¹dz (1)";"m.Grudzi¹dz";1;"cities"
"45";"Ostro³êka (1)";"m.Ostro³êka";1;"cities"
"46";"Bydgoszcz (1)";"m.Bydgoszcz";1;"cities"
"47";"Piotrków Trybunalski (1)";"m.Piotrków Trybunalski";1;"cities"
"48";"Piekary Œl¹skie (1)";"m.Piekary Œl¹skie";1;"cities"
"49";"Che³m (1)";"m.Che³m";1;"cities"
"50";"Sosnowiec (1)";"m.Sosnowiec";1;"cities"
"51";"Chorzów (1)";"m.Chorzów";1;"cities"
"52";"Elbl¹g (1)";"m.Elbl¹g";1;"cities"
"53";"Czêstochowa (1)";"m.Czêstochowa";1;"cities"
"54";"Tarnów (1)";"m.Tarnów";1;"cities"
"55";"Jastrzêbie-Zdrój (1)";"m.Jastrzêbie-Zdrój";1;"cities"
"56";"Konin (1)";"m.Konin";1;"cities"
"57";"W³oc³awek (1)";"m.W³oc³awek";1;"cities"
"58";"Przemyœl (1)";"m.Przemyœl";1;"cities"
"59";"Zabrze (1)";"m.Zabrze";1;"cities"
"60";"Tarnobrzeg (1)";"m.Tarnobrzeg";1;"cities"
"61";"Bytom (1)";"m.Bytom";1;"cities"
"62";"Ustroñ (1)";"cieszyñski";0;"urban"
"63";"Pruszcz Gdañski (1)";"gdañski";0;"urban"
"64";"Luboñ (1)";"poznañski";0;"urban"
"65";"Marki (1)";"wo³omiñski";0;"urban"
