"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";;;115915,11;98031,56;84220,54;64915,85;77726,7;66169,12;74351,81;78454,92
201022;"Boles³awiec (2)";;;20909,43;23256,96;18736,8;13370,85;16607,26;17275,12;22273,74;21873,51
201032;"Gromadka (2)";;;2685,94;4848,7;3037,22;3189,45;2855,53;3014,53;3505,49;1852,12
201043;"Nowogrodziec (3)";;;18190,95;12241,69;13090,08;12995,28;19452,84;16912,24;12594,64;9529,34
201052;"Osiecznica (2)";;;3532,3;-142;118;-3;-120;64;1613;2474
201062;"Warta Boles³awiecka (2)";;;19143,08;19916,63;20011,27;17387,55;15691,38;17240,75;19231,01;12743,82
202011;"Bielawa (1)";;;19439,55;15418,95;18614,11;13440,49;17916,38;9594,3;13293,85;12495,78
202021;"Dzier¿oniów (1)";;;78287,11;85439,84;74647,4;62028,23;80160,69;66787,92;67105,12;71925,82
202031;"Pieszyce (1)";;;24328,14;15303,33;26203,24;21557,13;;;;
202033;"Pieszyce (3)";;;;;;;19570,7;28592,17;28336,54;21695,57
202041;"Pi³awa Górna (1)";;;1736;1676;1838;1900;1680;1545;1844;1728
202052;"Dzier¿oniów (2)";;;4447,34;3200,33;1411,43;1244;7;386,4;2483,6;57
202062;"£agiewniki (2)";;;12941,97;10303,73;8276,87;5109,28;4477,2;7264,28;7167,51;8663,1
202073;"Niemcza (3)";;;2127,92;4112,1;3932,55;7105,83;3507,8;1886,2;3683,12;2867
203011;"G³ogów (1)";;;71356,32;74732,69;76873,2;82898,03;81335,26;80837,59;66121,11;41827,33
203022;"G³ogów (2)";;;7429,55;11267,41;-771,38;3169,51;1460,9;1272;1296;0
203032;"Jerzmanowa (2)";;;0;0;0;0;0;0;0;0
203042;"Kotla (2)";;;208,36;0;88,82;0;0;0;0;4
203052;"Pêc³aw (2)";;;0;0;0;0;0;0;0;0
203062;"¯ukowice (2)";;;0;0;0;0;2114,16;2028,12;2106;1008,77
204013;"Góra (3)";;;9385,82;17424,73;16422,52;18521,82;17916,92;20012,77;21016,74;19102,31
204022;"Jemielno (2)";;;0;0;0;0;0;0;0;0
204032;"Niechlów (2)";;;1005,65;725,96;1004,19;1679,96;-1065,33;122,8;16,01;-47,68
204043;"W¹sosz (3)";;;15811,77;18967,96;18773;20168;14963,81;3806,4;1102,9;1215
205011;"Jawor (1)";;;60166,59;55049,48;62232,01;49456,82;44357,12;48016,58;50454,98;51229,58
205023;"Bolków (3)";;;6124,26;4732,95;7249,96;3941,2;2915;3757;4917,34;3781,3
205032;"Mêcinka (2)";;;2172,7;2011,33;3448,53;4860;4846,91;5592,67;5898,09;5294,23
205042;"Mœciwojów (2)";;;6919,4;6610;9033,3;8112,9;10957,47;7664,23;4717,66;4623,21
205052;"Paszowice (2)";;;1287,7;1369;1262;1389;2556;2419;1566;1610
205062;"W¹dro¿e Wielkie (2)";;;6988,41;3314,35;2595;846;764;2459,46;5451,07;3636,49
206011;"Karpacz (1)";;;18235,53;14020,69;23008,61;13849,71;15788,55;22549,68;23169,76;25248,76
206021;"Kowary (1)";;;8253,67;9115,29;7785,16;7996,3;5731,38;9944,07;7666,5;5477,2
206031;"Piechowice (1)";;;12065,97;14595,29;17410,68;12292,26;11304,11;18670,17;13011,69;12574,57
206041;"Szklarska Porêba (1)";;;20743,28;19551,59;17846,35;16690,36;19012,43;21136,01;26763,66;25805,97
206052;"Janowice Wielkie (2)";;;5259,75;1803,8;3188,38;4408,62;4556,03;309,86;1295;1694
206062;"Je¿ów Sudecki (2)";;;2853,66;6104,17;6949,78;5618,52;5698,03;-441,66;1486,16;363,18
206072;"Mys³akowice (2)";;;11984,4;17840,36;19890,26;20696,76;18807,43;21232,21;22319,66;14326,36
206082;"Podgórzyn (2)";;;11480,05;11124,19;11596,41;8633,42;9285;4922,08;12762,17;12561,37
206092;"Stara Kamienica (2)";;;5025,58;6126,88;4704,08;3381,85;2656,35;3198,81;5640,4;1514,37
207011;"Kamienna Góra (1)";;;18514,57;18307,44;15328,47;13359,96;9824,76;8172,92;14192,67;12611,99
207022;"Kamienna Góra (2)";;;4364,43;997,74;318,47;7176,4;5795,93;6293,29;7625,44;7774,65
207033;"Lubawka (3)";;;13265,93;6617,04;8585,84;7113,27;6619,86;5561,23;4666,96;1127,16
207042;"Marciszów (2)";;;0;260,96;6,19;120;0;0;0;0
208011;"Duszniki-Zdrój (1)";;;17229,38;15548,32;15923,11;16830,4;10342,35;11274,74;10757,48;11278,85
208021;"K³odzko (1)";;;131175,66;123540,06;110247,94;99951,17;102605,27;101546,46;125186,14;127967,53
208031;"Kudowa-Zdrój (1)";;;88393,3;68372,23;51234,9;51290,8;60810,77;74678,33;86479,92;107932,12
208041;"Nowa Ruda (1)";;;24326,81;19686,62;20139,74;15710,34;20309,46;11898,02;30523,79;16572,36
208051;"Polanica-Zdrój (1)";;;79633,07;70400,1;65683,87;75319,32;73852,99;65324,47;61243,54;61441,62
208063;"Bystrzyca K³odzka (3)";;;39969,13;41077,26;37320,99;34759,66;37235,99;31940,5;37114,21;28284,82
208072;"K³odzko (2)";;;1070,37;201,64;2576,81;3134;3143,49;2971;4061,56;2233
208083;"L¹dek-Zdrój (3)";;;8994,59;9335,6;2768,23;7665,37;7432,6;7730,98;8383,42;10045,93
208092;"Lewin K³odzki (2)";;;0;0;0;15420,54;7397,08;6810,78;3589;2946
208103;"Miêdzylesie (3)";;;40964,06;44222,93;37287,32;42269,07;34834,82;35560,92;36440,99;25000,95
208112;"Nowa Ruda (2)";;;435;0;0;0;141;0;0;166
208123;"Radków (3)";;;4732,56;11045,2;7137,5;9483,7;5315;2463;4332;3376,16
208133;"Stronie Œl¹skie (3)";;;13678,36;13359,72;15474,57;15805,25;16432,68;16880,34;9243,11;21826,09
208143;"Szczytna (3)";;;9076,17;8761,57;11446,59;11434,9;11752,18;11758,55;12581,3;9302,17
209011;"Chojnów (1)";;;26528,88;26513,17;30371,19;24041,16;25573,8;21739,66;18894,11;13061,31
209022;"Chojnów (2)";;;-10,06;88,81;120;0;0;-112,84;0;0
209032;"Krotoszyce (2)";;;2026;456,6;5099,56;2884,6;3932,63;3738,1;5412,72;2686,69
209042;"Kunice (2)";;;7382,76;4956,44;5501,8;4848,38;0;2172;4380;2238
209052;"Legnickie Pole (2)";;;7317,7;6451,08;4597,17;4774;8575,74;1725,54;2148,02;969,26
209062;"Mi³kowice (2)";;;1976,66;1751,57;3895;4443;4331,87;1992;3558,13;3422
209073;"Prochowice (3)";;;32867,97;29950,88;27289,14;30544,87;12624,98;18181,49;18312,19;20210,39
209082;"Ruja (2)";;;8;0;0;0;0;0;0;0
210011;"Lubañ (1)";;;46351,07;40986,4;58966,04;48390,81;52945,45;57014,29;50469,81;40860,48
210021;"Œwieradów-Zdrój (1)";;;3916,82;2865,45;2722,86;1851,76;5303,15;3200,29;2153,93;2224,37
210033;"Leœna (3)";;;10852,54;10182,07;9902;11185;9525;9658;9047;9536,4
210042;"Lubañ (2)";;;3342,3;3635,77;2947,21;2273,23;975;2060;4124;2332
210053;"Olszyna (3)";;;2752;3057,3;1853,9;1343,87;1467,55;3398,06;5097,01;4322,01
210062;"Platerówka (2)";;;0;0;0;0;0;0;0;513,91
210072;"Siekierczyn (2)";;;2289;3060;3087;3357;4003,44;3087;2963,55;4980,54
211011;"Lubin (1)";;;234746,21;209421,88;208612,57;170172,86;142047,33;123512,06;123220,86;137112,08
211022;"Lubin (2)";;;4022,13;7227,35;7484,63;17749,34;30095,78;15722,59;16212,63;11960,49
211032;"Rudna (2)";;;9455,38;1576,56;56;-0,1;872,95;57;833;0
211043;"Œcinawa (3)";;;26381,37;35058,16;38010,29;26604,73;17646,4;40567,72;41189,16;37556,01
212013;"Gryfów Œl¹ski (3)";;;10997,2;9238,53;6393,39;9880,48;9148,95;8991,83;6584,86;7395,54
212023;"Lubomierz (3)";;;0;690;2044,28;2545,64;-323,54;3,52;1078;1190
212033;"Lwówek Œl¹ski (3)";;;-1531,18;1806,43;1880,1;4493,42;1724,18;6261,61;11263,1;6740,85
212043;"Mirsk (3)";;;9277,72;13169,12;17791,5;14184,77;18894;15178,02;9020,79;8974,57
212053;"Wleñ (3)";;;0;353;239;653;-120;16881;17044,02;17161,98
213012;"Cieszków (2)";;;3644,5;3501,73;5403,27;6773,8;6682,7;6674,4;7706;8007
213022;"Kroœnice (2)";;;7605,78;13099,15;8627,27;6012,81;4898,78;4545,79;5782,41;6659,31
213033;"Milicz (3)";;;20515;13598,65;10748,93;4832;9112,34;16646,47;9767,14;13952,28
214011;"Oleœnica (1)";;;67554,01;68907,92;72660,59;71452,29;79880,53;78679,48;75619,88;113745,3
214023;"Bierutów (3)";;;14261,02;24519,89;26886,92;28575,55;28543,33;23063,81;16559,77;15453,55
214032;"Dobroszyce (2)";;;-644,8;2516,47;1685,49;1516,32;347,85;2728;2038,4;2048,21
214042;"Dziadowa K³oda (2)";;;1734,12;1711,08;141,64;74;6;0;773;-580
214053;"Miêdzybórz (3)";;;6753,72;7800,25;9192,4;15161,5;12980,54;9518,3;7372,72;6344,9
214062;"Oleœnica (2)";;;6214,99;6606,21;11356,54;2249,44;2199,2;1352,89;8165,89;19313,75
214073;"Syców (3)";;;52001,79;53522,27;47586,39;54456,12;47004,2;48024,36;49582,55;14415,05
214083;"Twardogóra (3)";;;24608,32;27620,79;15433,1;11836,82;12721,84;13387,42;20647,26;15682,1
215011;"O³awa (1)";;;98097,46;99170,69;95100,71;90672,85;85164,75;97335,87;87701,47;85440,36
215022;"Domaniów (2)";;;11358,56;5965,66;6164,96;8585,95;11055;9408,63;9028,36;9001,88
215033;"Jelcz-Laskowice (3)";;;36585,24;40423,99;41028,07;30207,13;36772,96;23876,51;20302,29;18160,36
215042;"O³awa (2)";;;16661,86;9778,46;14052,99;16968,05;12818,03;16033,09;12728,94;5649,23
216013;"Chocianów (3)";;;11591,06;13794,23;16676,49;16165,5;12211,77;6230,26;3868,28;1597,7
216022;"Gaworzyce (2)";;;365,1;70;642,45;72,55;0;304;3317;6061
216032;"Grêbocice (2)";;;3981;1102;1251;2733;999;2236,4;2752;2752
216043;"Polkowice (3)";;;36904,01;42268,91;31485,56;18171,54;23700,93;26908,6;25971,97;28370,86
216053;"Przemków (3)";;;2750,91;3052,54;7792,33;4564,14;47,02;689,94;243,63;2024,1
216062;"Radwanice (2)";;;-7;0;0;0;0;96;0;0
217012;"Borów (2)";;;4164,02;3641,24;4410,48;5743;7999,52;6740,9;7206,5;5840
217022;"Kondratowice (2)";;;6069,1;5752,24;5372,27;4862,55;4764,38;2042,62;2955,58;2817,91
217032;"Przeworno (2)";;;3864,9;3649;3494;3608;3699;2244;3989,4;3697,6
217043;"Strzelin (3)";;;66609,58;83640,88;84200,77;80184,99;76504,48;87728,24;78791,15;60461,79
217053;"Wi¹zów (3)";;;26288,4;22193,22;24049,3;24568,96;20519,87;18945,86;18297,68;12429,1
218012;"Kostom³oty (2)";;;25051,18;17482,26;6525,83;8974,47;8118,25;11700,82;9682,32;8495,77
218022;"Malczyce (2)";;;6259,47;4632,78;3815,21;1776,5;1632,55;983;1601,58;2454,84
218032;"Miêkinia (2)";;;17977,9;22663,07;23251,77;15942,16;12534,33;11304,56;12425,75;15552,98
218043;"Œroda Œl¹ska (3)";;;40039,1;30757,51;35755,52;38466,66;37032,73;19343,26;34341,89;41178,48
218052;"Udanin (2)";;;32151,72;12628,8;15769,09;14812,98;14596,06;14558,51;15051,15;15252,87
219011;"Œwidnica (1)";;;158577,86;157890,92;163632,34;159176,24;127558,1;130661,34;165989,31;172714,55
219021;"Œwiebodzice (1)";;;26745,52;24463,62;27965,47;24592,13;30313,58;17083,78;18219,04;22342,33
219032;"Dobromierz (2)";;;3132,6;-1788,72;-194;0;43,6;258,05;1548,39;-607,77
219043;"Jaworzyna Œl¹ska (3)";;;9970,24;13344,12;14506,91;12231,37;5742,2;23194,44;18376,33;1197,74
219052;"Marcinowice (2)";;;302,21;-333,81;29,15;0;0;112;0;1371
219063;"Strzegom (3)";;;16109,98;17636,99;15197,4;15452,36;12970,01;12687,06;9191,01;9418,67
219072;"Œwidnica (2)";;;9988,1;5457,28;8430,12;7828,24;8761,19;6212,76;13403,11;3779,23
219083;"¯arów (3)";;;44484,53;42743,14;39872,18;28034,07;33578,04;32147,98;14963,27;23919,34
220013;"Oborniki Œl¹skie (3)";;;22970,93;17009,41;26457,92;25187,59;27327,21;20729,96;17775,36;16159,94
220023;"Prusice (3)";;;1719;0;0;904;2050,38;2607;2300;2414
220033;"Trzebnica (3)";;;45676,48;47043,52;46026,46;40702,36;40111,65;35297,82;38884,03;35069,12
220042;"Wisznia Ma³a (2)";;;2431,27;1546,71;1518,08;2152,26;2109,62;680,13;364,57;2292,49
220052;"Zawonia (2)";;;5372;-2350,2;1796,45;1821,32;1777,56;1960,48;1166,68;1824,68
220063;"¯migród (3)";;;12203,05;19924,55;11967,17;14920,69;9782,09;13864,04;15885,33;10689,64
221011;"Boguszów-Gorce (1)";;;5991,01;5836,04;4951,36;4371,74;6035,63;5550,51;1667,51;0
221021;"Jedlina-Zdrój (1)";;;3892,88;4483,41;4444,2;2457;3220,49;3816;3876;4479,47
221031;"Szczawno-Zdrój (1)";;;14106,44;5904,81;6481,1;7206,33;4709,37;7535,29;5404,57;2670,92
221042;"Czarny Bór (2)";;;7635,33;7697,36;7150,86;7538,3;8601,06;6897,8;5839,33;5562,81
221053;"G³uszyca (3)";;;2372,2;3338,42;3578;3453,27;3387;3150;6361;5937,56
221063;"Mieroszów (3)";;;8591,23;6756,07;4094,24;4913,65;4500,32;5702,71;7373,55;8065,56
221072;"Stare Bogaczowice (2)";;;0;0;0;0;0;596;120;0
221082;"Walim (2)";;;3164,81;3448;1647,07;1988,07;1854,8;1627,09;1606,69;1614,84
221091;"Wa³brzych od 2003 do 2012 (1)";;;216906,05;;;;;;;
222013;"Brzeg Dolny (3)";;;19713,7;19574,93;18214,21;16697,21;19431,88;16748,59;19629,51;21187,36
222022;"Wiñsko (2)";;;3820,68;2547,89;6211,05;2600,46;4860;64,08;709;2254
222033;"Wo³ów (3)";;;41270,25;49357,39;49160,41;44368,36;44275,72;35033,46;41822,61;24259,14
223012;"Czernica (2)";;;9517,67;9000,62;10129,1;5621,04;4820,56;8577,88;11098,13;28466,51
223022;"D³ugo³êka (2)";;;63079,39;47170,62;70036,52;61361,16;67899,46;60586,11;60240,31;46153,14
223032;"Jordanów Œl¹ski (2)";;;-111,3;292,55;2795,01;295,64;98,15;518,97;-3,51;-0,09
223043;"K¹ty Wroc³awskie (3)";;;37588,49;51843,33;54844,62;39223,67;59393,36;55552,59;41715,38;39043,55
223052;"Kobierzyce (2)";;;27098,37;31018,84;31631,46;27496,96;23150,97;25966,93;23511,35;26787,06
223062;"Mietków (2)";;;-103,99;-448,16;1486;164;408;394;833;1281,91
223073;"Sobótka (3)";;;15821,46;9367,27;22751,62;9452,3;9958,17;14454,62;15389,63;17484,7
223083;"Siechnice (3)";;;25328,6;32229,92;26752,72;24838,42;30634,49;24891,64;34800,9;23815,11
223092;"¯órawina (2)";;;32512,22;34653,96;32946,09;24358,63;23498,73;24465,06;20650,18;16932,94
224013;"Bardo (3)";;;11016,85;11803,25;9223,3;7280,96;8132,79;6296,59;11774,23;7788,91
224022;"Ciep³owody (2)";;;9770,66;5396,63;4724,97;1440;1440;1440;1462;1488
224032;"Kamieniec Z¹bkowicki (2)";;;3651,72;4219,85;4474,66;3830,1;3000,46;2803,28;2738,95;2597,95
224042;"Stoszowice (2)";;;0;0;0;0;0;0;0;0
224053;"Z¹bkowice Œl¹skie (3)";;;42290;33056,56;33179,29;32679,9;26437,1;31067,33;28127,72;16040,39
224063;"Ziêbice (3)";;;23054,48;26118,1;27828,08;21056,87;21254,41;21687,06;21347,68;15909,92
224073;"Z³oty Stok (3)";;;208,63;307,83;27,4;0;0;0;0;0
225011;"Zawidów (1)";;;2762,38;2825,41;1440;4208;3390;1613;2457;1488
225021;"Zgorzelec (1)";;;58312,27;66518,83;59482,25;52638,97;42148,48;41180,62;34984,47;31409,61
225033;"Bogatynia (3)";;;64272,05;68626,56;63002,76;45460,92;33099;39581,76;20162,28;24112,58
225043;"Pieñsk (3)";;;11899,27;3217,69;4028,9;4144,46;3963,06;1727,31;3608,15;3107,68
225052;"Sulików (2)";;;5910,98;422,66;1;-1;0;0;1252;-146
225063;"Wêgliniec (3)";;;6782,05;6082,45;7177,64;4806,27;2104,71;824,66;465,32;489,68
225072;"Zgorzelec (2)";;;5747,62;1366;3497,14;117,58;2511,02;4045,68;5352;5648,92
226011;"Wojcieszów (1)";;;0;0;0;0;0;0;0;0
226021;"Z³otoryja (1)";;;27151,99;29991,64;30563,65;25975,32;21691,07;25320,33;22101,33;11119,77
226032;"Pielgrzymka (2)";;;0;0;0;0;1140,26;1726,34;-1,27;33,42
226043;"Œwierzawa (3)";;;-1069,88;0;0;0;0;1544,18;1389,02;1545,59
226052;"Zagrodno (2)";;;234;0;0;0;219;339;0;0
226062;"Z³otoryja (2)";;;8046,08;8387,45;7516,47;3287,51;1782,68;1155,53;1205;567,78
261011;"Jelenia Góra (1)";;;153474,68;156141,39;143689,54;111884,56;130851,16;118000,4;135208,73;124947,85
262011;"Legnica (1)";;;187717,01;190951,07;175937,11;193167,55;218865,57;181966,05;172006,3;235770,6
264011;"Wroc³aw (1)";;;1832874,2;1827633,82;1621282,3;1565609,4;1431837,51;1369989,37;1426991,59;1479999,68
265011;"Wa³brzych od 2013 (1)";;;;219902,52;208246,74;207413,85;196352,42;187044,61;184752,16;195119,53
401011;"Aleksandrów Kujawski (1)";;;56083,14;31816,18;39143,94;32084,42;34982,9;41247,96;35644,58;26783,84
401021;"Ciechocinek (1)";;;52296,65;70585,48;67521,93;57885,2;42792,41;65517,67;52002,13;69442,71
401031;"Nieszawa (1)";;;0;26;0;48;0;0;0;0
401042;"Aleksandrów Kujawski (2)";;;11923,91;17599;17495,13;10741,77;13568,15;4887,07;7768,43;9440,11
401052;"B¹dkowo (2)";;;6345,08;4455,72;2346,06;3680,3;2565,02;4223,9;2390,87;2282
401062;"Koneck (2)";;;21802,73;9482,72;17726,21;14321,57;16043,54;6491,11;7337,01;7430,56
401072;"Raci¹¿ek (2)";;;4936,5;9573,88;7173,27;7092,55;8244,32;8265,38;13248,01;6912,97
401082;"Waganiec (2)";;;0;-148;0;240;1320;-374;680;622,49
401092;"Zakrzewo (2)";;;5895,68;1991,81;1929,75;240;1377,98;849,09;1002,43;1028,84
402011;"Brodnica (1)";;;17424,59;18735,47;14219,04;13275,68;14160,31;14015,6;10544,33;13037,2
402022;"Bobrowo (2)";;;4462,72;2541,72;2369,6;-112,51;0;0;0;448,54
402032;"Brodnica (2)";;;1905;3078,63;2929,6;2563,76;1627;2711,9;969,95;781,52
402042;"Brzozie (2)";;;0;0;0;51,6;575,1;0;3761,64;440,6
402053;"Górzno (3)";;;6116,59;6196,06;5483,57;3934,4;3835,22;3826,68;3987,03;2444,64
402062;"Bartniczka (2)";;;0;0;0;0;0;0;0;0
402073;"Jab³onowo Pomorskie (3)";;;664,44;3119,8;5170,6;4322,4;1074,56;2626,85;2304;1610
402082;"Osiek (2)";;;78;0;0;106;888,4;244,5;-95;0
402092;"Œwiedziebnia (2)";;;2303;2246;2963;2179;2066;2379;2371;2225
402102;"Zbiczno (2)";;;0;822;1150,12;7,46;0;0;0;0
403012;"Bia³e B³ota (2)";;;34181,17;34764,68;34043,86;30574,87;36322,55;41042,03;41288,18;30705,05
403022;"D¹browa Che³miñska (2)";;;11676,63;13676,03;14147,98;14328,7;15325,98;13738,73;13703,85;13768,4
403032;"Dobrcz (2)";;;4748,65;2998,13;1877,55;977,93;1947,78;2364,08;-567,49;755,75
403043;"Koronowo (3)";;;44643,5;49334,98;53879,25;52053,48;37876,18;32642,86;43904,31;32787,15
