"Kod";"Nazwa";"gminy.³¹cznie.z.miastami.na.prawach.powiatu.pozosta³e.dochody...œrodki.na.dofinansowanie.w³asnych.zadañ.pozyskane.z.innych.Ÿróde³...inwestycyjne.2010..z³.";"gminy.³¹cznie.z.miastami.na.prawach.powiatu.pozosta³e.dochody...œrodki.na.dofinansowanie.w³asnych.zadañ.pozyskane.z.innych.Ÿróde³...inwestycyjne.2011..z³.";"gminy.³¹cznie.z.miastami.na.prawach.powiatu.pozosta³e.dochody...œrodki.na.dofinansowanie.w³asnych.zadañ.pozyskane.z.innych.Ÿróde³...inwestycyjne.2012..z³.";"gminy.³¹cznie.z.miastami.na.prawach.powiatu.pozosta³e.dochody...œrodki.na.dofinansowanie.w³asnych.zadañ.pozyskane.z.innych.Ÿróde³...inwestycyjne.2013..z³.";"gminy.³¹cznie.z.miastami.na.prawach.powiatu.pozosta³e.dochody...œrodki.na.dofinansowanie.w³asnych.zadañ.pozyskane.z.innych.Ÿróde³...inwestycyjne.2014..z³.";"gminy.³¹cznie.z.miastami.na.prawach.powiatu.pozosta³e.dochody...œrodki.na.dofinansowanie.w³asnych.zadañ.pozyskane.z.innych.Ÿróde³...inwestycyjne.2015..z³.";"gminy.³¹cznie.z.miastami.na.prawach.powiatu.pozosta³e.dochody...œrodki.na.dofinansowanie.w³asnych.zadañ.pozyskane.z.innych.Ÿróde³...inwestycyjne.2016..z³.";"gminy.³¹cznie.z.miastami.na.prawach.powiatu.pozosta³e.dochody...œrodki.na.dofinansowanie.w³asnych.zadañ.pozyskane.z.innych.Ÿróde³...inwestycyjne.2017..z³.";"gminy.³¹cznie.z.miastami.na.prawach.powiatu.pozosta³e.dochody...œrodki.na.dofinansowanie.w³asnych.zadañ.pozyskane.z.innych.Ÿróde³...inwestycyjne.2018..z³.";"gminy.³¹cznie.z.miastami.na.prawach.powiatu.pozosta³e.dochody...œrodki.na.dofinansowanie.w³asnych.zadañ.pozyskane.z.innych.Ÿróde³...inwestycyjne.2019..z³."
201011;"Boles³awiec (1)";360761,2;7912942,88;162891,89;0;61031,32;0;111299,61;89949,86;0;0
201022;"Boles³awiec (2)";374020;0;25000;1843124,25;87800;2019875,8;87200;200936;0;0
201032;"Gromadka (2)";300;5100;323436;736571,13;0;0;664437,1;0;879076,2;0
201043;"Nowogrodziec (3)";110742;428723;329040;293585,68;0;169356;0;0;445182,62;47929,12
201052;"Osiecznica (2)";0;0;0;0;584936;49400;0;0;0;0
201062;"Warta Boles³awiecka (2)";134490,5;0;0;0;2290632;109368;0;0;0;0
202011;"Bielawa (1)";271530;276904,5;135000;521550;381156,3;354550;253149,74;1156343,98;0;0
202021;"Dzier¿oniów (1)";803544,88;848,7;0;0;0;0;366628,8;56910,57;232632,94;178245,35
202031;"Pieszyce (1)";0;0;0;0;0;5000;;;;
202033;"Pieszyce (3)";;;;;;;216594,23;7800;0;0
202041;"Pi³awa Górna (1)";0;0;0;0;600;0;0;0;0;0
202052;"Dzier¿oniów (2)";845234,37;0;154914,82;0;82555;94810,04;0;0;313380,25;59319,7
202062;"£agiewniki (2)";0;0;0;0;0;0;0;0;0;0
202073;"Niemcza (3)";0;0;164883;0;0;0;0;0;0;0
203011;"G³ogów (1)";70642,24;736932;330907,5;2305014,22;308700;86175;0;58012,5;0;1206642,19
203022;"G³ogów (2)";0;0;0;0;0;0;50000;220000;0;0
203032;"Jerzmanowa (2)";31066;0;0;0;0;0;0;0;0;0
203042;"Kotla (2)";0;0;0;8130,08;68190,86;36809,14;33000;0;0;0
203052;"Pêc³aw (2)";0;30000;0;0;141500;148626,88;0;210000;0;0
203062;"¯ukowice (2)";494196;634439,22;11988;40176;478983,52;95180;0;50000;0;0
204013;"Góra (3)";0;0;0;0;0;0;0;0;0;0
204022;"Jemielno (2)";0;5e+05;980684;591940;481211,64;137147;0;0;0;0
204032;"Niechlów (2)";0;0;0;0;0;5410;0;0;0;0
204043;"W¹sosz (3)";922516,16;0;0;0;0;0;0;29498,01;0;0
205011;"Jawor (1)";0;0;0;0;0;0;1033;0;0;0
205023;"Bolków (3)";0;0;0;0;0;0;0;0;0;0
205032;"Mêcinka (2)";640220,67;0;0;0;0;0;0;40000;161579,21;85016,45
205042;"Mœciwojów (2)";2698473,93;187907;0;0;0;0;0;0;0;0
205052;"Paszowice (2)";0;0;0;0;0;0;0;0;0;0
205062;"W¹dro¿e Wielkie (2)";96694,67;57444;0;0;0;0;0;0;0;0
206011;"Karpacz (1)";12564676,67;1018191,37;5142252,73;1452714,35;2154226,51;1013487,33;188753,55;0;0;0
206021;"Kowary (1)";0;0;0;0;324085,19;0;0;0;160000;0
206031;"Piechowice (1)";0;0;0;0;0;0;0;0;0;0
206041;"Szklarska Porêba (1)";0;492013,76;0;0;0;0;0;0;623750,85;0
206052;"Janowice Wielkie (2)";167667,81;856256,72;0;0;0;471000;0;0;0;0
206062;"Je¿ów Sudecki (2)";0;0;202920,39;2078210,5;3015729;950775;0;40000;0;0
206072;"Mys³akowice (2)";4000;0;0;0;172597;28656;56808,9;0;0;0
206082;"Podgórzyn (2)";0;81374;0;0;890373,02;110290;0;0;0;0
206092;"Stara Kamienica (2)";0;456669,19;25000;720425,73;1740233,24;2387348;0;0;0;0
207011;"Kamienna Góra (1)";1813519,08;4679917,76;2033020,54;1159360,52;78009,21;0;0;0;0;0
207022;"Kamienna Góra (2)";572836;137213;1973808;315928,2;518000;224655;96500;0;0;0
207033;"Lubawka (3)";3795612,83;4950362,8;766221,58;2535617,02;0;2964641;110406,4;0;0;0
