"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";18523043,12;18452064,31;18855714,41;19267122,52;18941748,59;24576415,54;18871108,13;19429485,69;13324171,19;15590044,47
201022;"Boles³awiec (2)";286706,07;822291,76;660763,03;650951,72;676083,24;944722,44;834668,65;711050,34;1283454,61;1447226,24
201032;"Gromadka (2)";362375,07;2974628,49;1739300,85;488861;1088305,62;219062,87;1416801,64;2720883,53;10946943,1;10348565,42
201043;"Nowogrodziec (3)";969417,34;996462,51;704763,48;610207,49;1423774,85;417398,83;290058,33;531676,91;264916,3;8157833,54
201052;"Osiecznica (2)";528672,44;1088582,52;607425,02;474559,17;256625,57;474488,39;461091,86;404356,9;257839,74;305947,53
201062;"Warta Boles³awiecka (2)";140864,42;73211,13;216647,75;186699,26;143331,27;314450,03;98406,76;103727,1;148260,93;130802,49
202011;"Bielawa (1)";8911139,76;10090215,25;11680793,91;11303269,07;11448443,1;10122444,42;12613537;15126049,32;11897694,63;13624048,42
202021;"Dzier¿oniów (1)";11133200,51;6948020,94;14734876,93;14017603,28;6803209,56;4972866,38;8181945,36;6213992,06;7275962,82;7803279,84
202031;"Pieszyce (1)";728313,74;987563,22;720596,06;1071486,72;1541757,51;3434470,57;;;;
202033;"Pieszyce (3)";;;;;;;971520,79;718839,31;1719227,91;1084685,72
202041;"Pi³awa Górna (1)";1323669,82;1586895,96;1233986,95;1143554,82;1328242,36;991567,42;1244403,8;1051797,12;1090917,7;1209751,75
202052;"Dzier¿oniów (2)";902243,59;633525,55;1268402,42;867169,2;527449,54;602262,12;556948,76;819990,29;1073049,08;981425,41
202062;"£agiewniki (2)";179351,29;68948,49;352599,7;780413,33;207767,72;283341,87;252757,17;251456,98;261685,21;269753,39
202073;"Niemcza (3)";787808,92;646179,02;672099,94;579968,7;674982,32;413781,12;475209,7;514856,01;578248,9;427271,75
203011;"G³ogów (1)";10158231,31;9559154,28;10964591,62;10390018,81;9189193,77;9472666,58;15453486,21;9485680,67;9421382,93;11665500,24
