"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";9230305,31;10335222,3;9730782,76;10075677,76;9495944,49;8038463,26;9103355,97;8879573,95;8710996,79;9376155,03
201022;"Boles³awiec (2)";50656,07;54427;142898,12;204973,32;204597,49;225668,13;226187,24;320649,44;382975,47;378646,64
201032;"Gromadka (2)";35729,07;37290,36;63737,73;127719,5;169641,34;105157,87;108131,64;115948,53;117215,5;116032,73
201043;"Nowogrodziec (3)";61273,2;108871,12;93515,07;83105,12;79941,8;92890,13;114101,52;123273,74;88162,56;142313,7
201052;"Osiecznica (2)";178975,83;291194,74;210965,41;276228,04;195806,09;235263,55;204739,03;149324,25;157469,32;167935,6
201062;"Warta Boles³awiecka (2)";88618,02;43724,03;69099,57;102818,2;80497,2;84903,61;64511,51;66709,56;60113,81;60070,59
202011;"Bielawa (1)";6275136,2;6635155,58;8561281,61;8714464,45;8542096,73;8600833,94;8985906,87;8724184,76;8777822,15;9057775,94
202021;"Dzier¿oniów (1)";3679090,21;3871894,14;3696348,78;3365922,92;3410521,59;3437612,72;3475781,92;3582862,21;4029390,63;4265077,49
202031;"Pieszyce (1)";40317,43;35320,23;32963,03;36375,57;39423,61;25793,88;;;;
202033;"Pieszyce (3)";;;;;;;19223,59;17671,69;31312,59;36474,46
202041;"Pi³awa Górna (1)";1075208,56;1088314,09;1052972,32;990803,43;888817,47;780705,9;758639,74;927247,89;919729,57;863555,69
202052;"Dzier¿oniów (2)";453822,1;479572,81;500191,68;492108,92;295404,2;261056,38;232030,21;438652,67;472496,96;480700,73
202062;"£agiewniki (2)";38835,27;44567,58;47986,1;70419,38;109416,59;108333,33;111313,44;114715,14;107270,99;171134,24
202073;"Niemcza (3)";453691,59;424634,4;421946,68;456679,95;442910,97;335990,82;326387,38;349751,41;356176,28;352497,76
203011;"G³ogów (1)";1381447,95;1183740,18;2226469,93;2087147,18;1983317,01;2010692,77;1923688,18;1842597,11;1744708,93;1899027,89
203022;"G³ogów (2)";56267,02;54296,06;66719,34;64406,41;72040,95;75330,18;78825,36;73485,26;80828,04;88333,25
203032;"Jerzmanowa (2)";42551,88;48324,29;60728,69;62266,56;77804,67;98936,19;78767,84;78628,4;78346,18;71865,49
203042;"Kotla (2)";123842,3;103928,88;109584,03;110288,98;108078,58;113788,76;131544,79;126565,83;130722,75;112126,68
203052;"Pêc³aw (2)";52242,5;34326,45;57608,25;105695,05;671688,22;108887,12;130293,33;105885,28;92790,02;88457,56
203062;"¯ukowice (2)";93166,57;73943,21;125305,44;84109,45;89628,02;102903,34;98274,4;96411,11;93200,73;111178,47
204013;"Góra (3)";1751021,53;1691138,91;1833497,82;1927577,95;1641450,43;1642686,22;1678854,51;1635810,53;1670198,44;1620329,73
204022;"Jemielno (2)";157076,13;168211,85;159302,35;162652,85;150720,67;145377,63;153535,05;136805,88;136644,67;144806,84
204032;"Niechlów (2)";45292,75;49602,61;52430,8;27453,19;30614,85;28822,68;21327,09;18847,77;18176,07;19813,62
204043;"W¹sosz (3)";66783,96;82598,84;93594,95;72767,12;87860,87;83451,59;83908,44;82768,39;108215,49;103156,95
205011;"Jawor (1)";159279,62;147656,08;161007,26;296250,85;356474,91;953690,43;974800,15;937462,91;915763,05;634653,16
205023;"Bolków (3)";46429,59;50619,3;49421,06;51106,59;61711,99;66961,82;72782,93;69696,5;62674,2;80097,09
205032;"Mêcinka (2)";141381,07;131377,53;125735,82;130058,15;117558,21;117395,31;123375,75;118507,82;116333,22;116809,85
205042;"Mœciwojów (2)";36711,28;53307,61;60201,35;56369,11;76676,6;73628,55;75252,63;82820,47;72855,97;74961,64
205052;"Paszowice (2)";90334,17;89841,51;83464,63;99009,73;119618,85;102753,87;97963,94;145374,06;151627,45;115630,4
205062;"W¹dro¿e Wielkie (2)";129723,95;115220,48;120263,79;122671,2;119791,24;119432,68;126073,81;147868,27;147456,94;141710,03
206011;"Karpacz (1)";487484,19;539242,46;578023,66;757302,26;1202905,33;1314460,91;1357897,62;1218961,37;1200787,58;1151256,04
206021;"Kowary (1)";98107,73;132611,09;135361,5;189221,74;190205,2;218703,03;223966,84;219882,74;224092,82;207949,63
206031;"Piechowice (1)";63549,62;141247,18;158209,71;205408,9;148393,93;725378,91;757116,87;862237,21;858401,99;822290,02
206041;"Szklarska Porêba (1)";750617,54;536354,11;657999,42;833657,93;717722,35;826554,69;669722,38;959916,14;1568748,08;1726951,03
206052;"Janowice Wielkie (2)";260578,68;281717,35;290105,86;298790,81;291699,99;307915,37;314160,66;292044,72;264335,61;284431,13
206062;"Je¿ów Sudecki (2)";85655,43;108190,5;84065,83;102423,95;79246,66;97151,36;94236,46;161625,14;117774,09;93918,17
206072;"Mys³akowice (2)";744190,2;721030,59;731647,56;677604,85;609207,52;608993,36;683165,12;684593,53;714076,47;761225,28
206082;"Podgórzyn (2)";173907,2;206825,01;175326,58;187675,15;182295,56;209370,28;205974,95;199772,45;210454,49;194195,2
206092;"Stara Kamienica (2)";19494,79;21035,38;66679,8;190947,69;752706,21;394676,17;790490,51;597837,4;642379,17;705855,37
207011;"Kamienna Góra (1)";4296372,4;3965040,02;4986914,89;4825704,35;4996067,63;3811408,81;4467409,39;4713773;4970822,53;4525582,45
207022;"Kamienna Góra (2)";104820,83;93078,5;111299,68;106959,96;105756,97;103194,43;101217,31;112881,41;129065,72;130866,28
207033;"Lubawka (3)";77684,2;78569,79;92634,18;91720,93;103699,36;108689,79;105286,71;100814,08;95874,52;108164
207042;"Marciszów (2)";34012,9;54375,92;50606,98;50444,47;50934,48;50814,1;104938,53;45802,36;89359,24;154514,86
208011;"Duszniki-Zdrój (1)";79538,03;143275,54;126692,03;119934,55;937204,79;927912,91;932659,94;897663,57;875891,68;953468,17
208021;"K³odzko (1)";5006165,76;5255988,84;6001461,08;5015912,86;5023423,81;4939426;4911940,98;4657179,26;4179902,58;4095301,55
208031;"Kudowa-Zdrój (1)";497650;367988,71;1656508,62;1546604,1;1508535,48;1357791,94;1373349,02;1327987;1309530,2;1223940,34
208041;"Nowa Ruda (1)";413784,46;566718,75;567026;565830,38;6247906,59;6142701,14;6111781,27;5905930,16;5893884,7;5946065,03
208051;"Polanica-Zdrój (1)";1149628,48;1051580,6;1091183,3;1034807,86;1077538,03;1112204,8;1156262,14;1035529,51;1047155,64;1339704,63
208063;"Bystrzyca K³odzka (3)";219084,31;231834,36;3130171,78;2922019,21;2577261,49;2610844,82;2925610,4;3143270,1;3168009,59;3522216,53
208072;"K³odzko (2)";568903,65;520343,41;637082,86;668179,21;681961,77;638392,11;625884,33;662608,29;672624,69;711914,66
208083;"L¹dek-Zdrój (3)";87360,79;142488,14;185045,02;245257,11;279758,79;309045,26;357363,26;334606,98;1206429,38;1261029,26
208092;"Lewin K³odzki (2)";45191,12;32418,06;58034,99;149898,63;214325,04;215344,71;200309,29;185744,73;176678,26;162761,05
208103;"Miêdzylesie (3)";77947,3;83747,29;121419,74;219234,92;234960,24;249732,42;241722,75;243909,21;292658,8;297135,6
208112;"Nowa Ruda (2)";208872,02;216155,21;263249,93;1996454,01;2403121,82;2500314,03;2473628,05;2273233,31;2264200,03;2266095
208123;"Radków (3)";108144,07;166725,58;222962,04;288437,7;415165,66;1623637,42;1687709,32;1793743,99;1901556,71;1997132,67
208133;"Stronie Œl¹skie (3)";658377,8;495862,91;389783,48;500531,21;451723,58;440561,53;625661,69;582501,64;630588,85;837464,07
208143;"Szczytna (3)";72241,79;97162,62;214340,46;289332,64;308633,48;229975,23;196024,54;218371,68;227289,11;248649,46
209011;"Chojnów (1)";153065,82;139969,79;227226,07;219328,02;227341,44;217122,76;205019,25;192038,9;180139,66;177237,13
209022;"Chojnów (2)";145275,39;114307,33;100749,96;103936,93;114294,39;122722,76;103511,29;102183,98;105670,09;97204,56
209032;"Krotoszyce (2)";45905,57;43442,59;58364,61;63006,79;69036,98;82822,7;92901,18;89277,51;120198,57;140444,76
209042;"Kunice (2)";54844,86;49387,49;53023,02;94107,73;61769,12;55798,17;61511,82;52670,29;55672,74;59415,79
209052;"Legnickie Pole (2)";29286,56;36278,9;38223,84;38141,58;42073,84;47862,71;121395,57;110120,72;105741,77;112381,92
209062;"Mi³kowice (2)";37016,19;21780,23;17973,15;20086,46;29370,56;23617,55;15454,75;60225,31;92122,17;52660,41
209073;"Prochowice (3)";411427,71;414765,52;464145,9;463758,76;488359,94;466894,86;469825,16;488723,32;452626,43;1097928,66
209082;"Ruja (2)";58618,95;49714,78;51749,44;63191,19;48743,42;51618,72;42129,66;42075,46;34976,18;29151,29
210011;"Lubañ (1)";348061,53;437149,11;2436251,33;2150021,97;1867952,53;1759210,11;1648663,47;1574160,76;1566903,05;1636774,24
210021;"Œwieradów-Zdrój (1)";680001,71;654431,59;594392,18;586543,65;507920,05;521712;541295,11;611089,98;615153,52;606619,93
210033;"Leœna (3)";1081521,9;756228,26;111483,61;97524,5;137278,26;100528,87;102074,15;93891,55;89045,56;175456,33
210042;"Lubañ (2)";22402,51;65675,93;64806,81;60933,07;45398,9;52594;48018,65;59386,09;48966,58;47910,46
210053;"Olszyna (3)";24679,35;35607,3;43879,3;49675,77;59017,98;58515,16;56387,64;86883,04;152796,35;227779,51
210062;"Platerówka (2)";28320,49;28875,63;20723,48;21659,28;18818,48;18195,68;17153,03;20309,71;21243,46;24705,17
210072;"Siekierczyn (2)";71701,94;77951,46;95117,4;87267,74;81993,06;81567,41;79970;80608,45;87383,37;118226,95
211011;"Lubin (1)";4759849,09;4322514,67;4379480,25;4314705,85;4231583,71;4141509,49;3839909,65;3855796,91;3653012,26;3270108,92
211022;"Lubin (2)";81391,66;90309,04;93303,47;175098,23;238784,33;244481,71;220117,31;259316,62;218890,13;4036786,56
211032;"Rudna (2)";47450,91;58434,7;94555,39;132661,84;137264,07;157946,59;157402,34;157406;151610,43;170864,99
211043;"Œcinawa (3)";154160,06;119861,83;140764,04;152693,55;128757,61;120705,32;119501,52;116798,96;192467,97;470434,05
212013;"Gryfów Œl¹ski (3)";205061,82;248573,08;276122,24;303808,69;307767,38;337396,15;326527,25;301925,29;332625,65;342411,92
212023;"Lubomierz (3)";25287,24;13436,85;23037,76;51851,27;329924,08;424194,73;394635,35;416216,39;368516,96;345539,58
212033;"Lwówek Œl¹ski (3)";125130,72;278609,48;436780,33;387788,79;745180,68;792508,95;804203,83;888337,36;823459,79;832860,36
212043;"Mirsk (3)";94187,96;104929,46;106461,87;117358,82;93003,9;97145,27;119775,49;127408,35;137192,31;145454,1
212053;"Wleñ (3)";110596,11;99965,6;44088,65;86458,76;210301,44;280065,45;313482,73;287095,98;259050,33;276300,09
213012;"Cieszków (2)";19788,94;22119,49;24295,84;23798,45;23079,17;22260,61;26400,18;25107,79;26583,39;25542,6
213022;"Kroœnice (2)";117026,22;109478,83;124559,06;132399,12;187054,69;150004,11;190853,11;200711,33;181663,9;181043,75
213033;"Milicz (3)";574557,88;541854,67;603817,61;743606,8;846046,56;641500,55;654301,73;585189,35;547257,87;542222,28
214011;"Oleœnica (1)";9909017,72;10428063,82;10318734,33;10062115,68;9185566,64;9198713,92;9997145,95;10705871,98;10364477,74;10475095,99
214023;"Bierutów (3)";96412,81;115075,37;157218,26;160291,17;166167,58;168938,93;186952,57;185267,8;173782,29;194380,66
214032;"Dobroszyce (2)";53936,67;50675,38;59184,7;64010,85;64195,11;63884,53;67609,98;71101,94;57841,06;57238,56
214042;"Dziadowa K³oda (2)";32812,3;31006,42;39922,16;47333,39;51596,39;48324,05;47939,42;48770;51660,3;73437,47
214053;"Miêdzybórz (3)";49916,98;49334,49;56440,22;69411,53;235510,63;269239,46;288094,71;249563,81;231041,47;293905,01
214062;"Oleœnica (2)";69734,83;91508,98;109821,53;161321,16;157490,78;176869,62;180891,88;182075,82;197799,06;225192,51
214073;"Syców (3)";1742043,3;1619244,18;1547561,18;1644214,96;1580461,55;1485440,45;1596795,03;1639800,87;1576883,92;1506567,36
214083;"Twardogóra (3)";624651,02;764143,72;753544,65;748206,02;724410,5;674374,67;195599,63;180549,45;205517,84;219702,15
215011;"O³awa (1)";5804822,92;5879693,95;6262764,82;6145641,68;6266705,86;6331756,89;6794806,89;6565924,12;6219122,8;6674225,01
215022;"Domaniów (2)";73917,84;70991,61;69395,15;71941,45;72682,94;81485,71;91747;99413,76;76560,13;78510,1
215033;"Jelcz-Laskowice (3)";1526563,26;1475083,19;1369216,83;1397587,73;1369581,55;1463110,76;1535546,67;1648027,35;1663896,38;1622301,53
215042;"O³awa (2)";348471,25;348478,87;440856,88;461810,15;463101,9;546878,51;397327,78;415136,82;401336,02;379747,24
216013;"Chocianów (3)";111933,17;131440,04;122350,37;210923,29;211233,8;236204,22;114317,67;101363,89;92892,03;90434,43
216022;"Gaworzyce (2)";30552,6;30478,1;33710,34;263327,82;46509,11;44293,04;46444,45;64011,3;78659,6;79869,3
216032;"Grêbocice (2)";118975,43;146482,22;62998,71;46031,51;63140,37;48767,83;54777;76901,26;80137,08;72269,33
216043;"Polkowice (3)";4342117,15;2183817,73;2352233,59;3890293,37;2985278,86;2807432,15;2829019,52;2512216,87;2537962,66;2568296,09
216053;"Przemków (3)";1754917,14;1453702,22;796918,15;107302,45;103870,88;99922,82;99209;97483,99;239702,45;84713,93
216062;"Radwanice (2)";64440,64;68722,37;72222,52;85774,83;79424,63;94597;56057,98;62824,58;63393,92;112635,53
217012;"Borów (2)";32216,79;34685,47;48811,35;54159,52;44272,64;55948,06;81932,7;81433,86;87452,43;83835,76
217022;"Kondratowice (2)";27366,31;18377,8;22995,4;24988,38;19847,04;16106,9;15875,3;15259,55;16561,39;16533,19
217032;"Przeworno (2)";5957,92;4543,38;10665,13;10836,55;10176,64;9902,47;8349,2;8234,38;7918,6;11008,2
217043;"Strzelin (3)";1156121,44;1224012,95;1429763,63;1578575,1;1569706,87;1544168,73;1532771,03;1453424,44;1889489,46;1808132,26
217053;"Wi¹zów (3)";172737,32;242928,12;257315,36;203922,73;175277,53;183050,34;131064,65;186167,13;186607,88;192435,25
218012;"Kostom³oty (2)";42476,82;70278,31;75373,01;63035;71770,73;71477,47;75114,06;71719,19;77724,01;153593,77
218022;"Malczyce (2)";178952,03;189103,85;175610,97;197208,02;174343,04;191987,25;220737,25;348464,46;198709,04;201711,51
218032;"Miêkinia (2)";103997,56;137578,31;147342,35;133471,45;120982,17;163956,6;187345,19;232546,01;260706,33;281652,93
218043;"Œroda Œl¹ska (3)";264453,25;180184,64;195817,48;259075,43;251719,29;312881,88;351970,02;342753,98;388955,31;723107,68
218052;"Udanin (2)";165777,78;190077,21;206502,62;242784,35;259194,3;252664,98;255282,8;237241,66;250879,77;284180,59
219011;"Œwidnica (1)";433731,43;354886,22;318744,68;304994,47;390875,61;323310,16;330811,08;333071,69;357352,26;448709,67
219021;"Œwiebodzice (1)";3417733,68;3665479,74;3949317,89;3898254,43;4263874,89;3857615,17;3661901,61;3854475,96;3655794,19;3591468,91
219032;"Dobromierz (2)";68471,56;83341,53;426482,26;439586,63;358068,2;343208,93;326078,46;343266,22;322162,39;318349,62
219043;"Jaworzyna Œl¹ska (3)";57870,5;69625,18;59181,58;62117,81;905986,12;877911,81;972929,32;1008068,35;971670,33;893785,82
219052;"Marcinowice (2)";73598,95;99238,3;110658,35;114147,86;124273,38;114709,17;127697,4;122264,95;120520,56;134384,76
219063;"Strzegom (3)";3133487,31;3014757,62;3097274,93;2620500,62;2689242,15;2757882,63;2949513,83;2989018,96;2689009,82;3051958,06
219072;"Œwidnica (2)";350856,66;350742,43;360118,57;432515,14;410961,39;413703,86;432269,32;453041,74;469560,37;434076,35
219083;"¯arów (3)";1230331,63;1336673,27;1271586,81;1037879,87;1031578,8;1111867,24;1086379,58;1402146,53;1419517,09;1517883,32
220013;"Oborniki Œl¹skie (3)";260658,49;1242302,45;1846158,2;2107271,63;2143720,1;1979445,61;1700817,78;1864802,74;2025511,87;1993397,74
220023;"Prusice (3)";64485,53;189516,68;290163,03;122214,21;118064,79;239304,29;188956,3;139410,87;205186,83;196205,7
220033;"Trzebnica (3)";1272946,63;1484134,41;2579317,34;1383338,96;2963283,66;3562045,93;3304347,96;1791516,35;1739593,1;1827128,59
220042;"Wisznia Ma³a (2)";104513,15;116514,88;127766,72;150090,21;124673,21;123050,59;125401,83;148824,89;186024,97;207798,41
220052;"Zawonia (2)";54896,9;63019,28;75417,71;62882,45;74275,8;64732,1;53842,77;48709,18;62411,48;63729,56
220063;"¯migród (3)";611931,43;659296;718171,6;716365,99;516728,48;619347,52;689402,03;1418762,09;1483039,74;1515557,12
221011;"Boguszów-Gorce (1)";4891283;5138751,74;5479750,28;6053079,42;6361763,96;6415101,18;6554331,63;6817091,54;6863002,2;0
221021;"Jedlina-Zdrój (1)";796686,33;694583,2;682539,99;689181,28;616068,95;644785,03;642829,99;625302,8;653223,18;633117,13
221031;"Szczawno-Zdrój (1)";789653,13;815682,43;829532,29;810975,91;795600,6;851810,48;854564,46;864711,05;872279,25;855483,27
221042;"Czarny Bór (2)";1708402,27;1604683,51;1352268,79;1426007,44;1514034,86;1565261,09;416659;459279,28;409696,43;366657,03
221053;"G³uszyca (3)";1275578,73;1237897,81;1304168,91;1146675,03;1185445,36;1118710,68;1290902,99;1180543,4;1255921,01;1301456,5
221063;"Mieroszów (3)";106651,33;1148729,17;2078178,9;2148581,46;2060648,62;2018480,72;2008401,68;1991573,95;2026723,89;2062859,62
221072;"Stare Bogaczowice (2)";406348,59;374183,22;369006,21;344560,33;318645,53;286316,5;244143,01;222336,72;237215,49;247355,15
221082;"Walim (2)";1188656,74;1155636,72;1241571,22;1131474,86;982924,91;1008008,26;1235408,31;1200694,74;1101635,99;1136289,51
221091;"Wa³brzych od 2003 do 2012 (1)";39861325,97;37017979,9;36716150,18;;;;;;;
222013;"Brzeg Dolny (3)";1035678,95;1070729,57;1178199,45;1230818,64;1253404,49;1269608,22;1296942,13;1305253,05;1279488,71;1310777,26
222022;"Wiñsko (2)";135341,53;213788,05;337365,08;545231,39;529604,2;421650,43;524088,57;429723,08;448261,7;459576,32
222033;"Wo³ów (3)";1460530,51;1334815,18;1537362,31;1472505,97;1706104,86;1675265,77;1665362,59;1692220,4;1754176,28;1729537,47
