"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";18915377,07;19469096,07;21918892,02;24006118,73;23823448,76;21509753,88;21961009,53;22107840,97;22767685,01;23621357,53
201022;"Boles³awiec (2)";8996932,41;9758451,24;10974557;11255434,25;11055796,56;11195819,71;10566644,53;17177060,96;11742187,95;11155248,85
201032;"Gromadka (2)";3895282,45;4271773,76;5043881,96;7819767,13;6517407,41;6149939,33;5860772,18;5952639,21;6292895,67;7756793,54
201043;"Nowogrodziec (3)";7189059,98;8634140,57;8073106,74;7195533,65;7237798,88;6624619,67;17459927,81;17185264,7;16379376,46;14488023,26
201052;"Osiecznica (2)";7066352,45;7001326,09;6732973,2;7818325,85;8115995,98;8346053,69;7547331,31;7767439,39;8954643,5;8127666,33
201062;"Warta Boles³awiecka (2)";7161155,84;7322136,75;7622323,73;8214893,82;8391575,34;8151087,1;7757681,85;7190991,23;7297624,78;7624197,33
202011;"Bielawa (1)";6261000,42;6701816;6901609,35;9013198,55;9616122,96;9784429,49;9790012,53;10275067,06;10411122,88;10610897,13
202021;"Dzier¿oniów (1)";13121418,03;13329794,23;14776636,51;15368655,83;15932240,76;17104636,42;18384281,06;19099465,17;21169252,4;21860387,02
202031;"Pieszyce (1)";2354198,17;2439104,64;2827959,8;3139448,59;3332134,34;3348602,36;;;;
202033;"Pieszyce (3)";;;;;;;3325438,26;3433838,93;3817649,67;4182616,77
202041;"Pi³awa Górna (1)";2888363,73;3272884,37;2989611,91;3343126,92;2706990,16;3202951,41;2512094,97;3002982,39;2906053,69;2857745,84
202052;"Dzier¿oniów (2)";1896757,41;2048190,73;2205390,02;2507569,69;3566115,86;3500020,34;2587473,4;2814106,58;2996605,19;2890179,77
202062;"£agiewniki (2)";1295620,74;1461875,88;1527055,76;1592061,29;2270500,66;2343108,87;1732287,43;1674996,92;2136169,34;2484732,97
202073;"Niemcza (3)";2356097,34;2463729,04;2432983,76;2831821,84;2895975,48;2843272,36;2192323,2;2173973,95;2076986,26;2271603,29
203011;"G³ogów (1)";49313133,07;52008698,02;53783228,96;56497194,64;55718698,08;58636177,62;62486253,29;69146470,48;77611319,9;81932213,98
203022;"G³ogów (2)";3555807,5;3681333,6;3905069,49;4620332,64;4923792,07;4991855,73;4955926,86;5866442,48;7436628,14;6330736,67
203032;"Jerzmanowa (2)";6624312,14;6860470,57;7385822,27;8397970,23;9177873,12;9651481,3;9461333,17;10676707,33;13115090,57;12308831,8
203042;"Kotla (2)";1497448,95;1537326,28;1673133,81;1745607,96;1687323,12;1754665,91;1440439,63;1501933,2;1527861,36;1502697,41
203052;"Pêc³aw (2)";440326,82;429442,77;463742,8;738161,35;803013,61;908117,62;691646,85;722354,75;718019,84;850098,17
203062;"¯ukowice (2)";1322361,86;883276,48;1599612,45;1887862,7;2040662,24;1948473,31;2020872,97;2056023,05;2184385,64;2691223,71
204013;"Góra (3)";6379174,3;6631780,53;7223680,01;7732089,48;8243051,78;8282185,11;8558866,62;9425754,36;8888501,18;9995772,28
204022;"Jemielno (2)";520726,55;584810,4;737113,07;826894,33;1032167,97;954802,67;907328,07;945313,3;919201,07;949954,26
204032;"Niechlów (2)";1313210,58;1345611,79;1521489,1;1511778,41;1557081,28;1591270,77;1681723,9;1772571,45;1780188,15;1798841,18
204043;"W¹sosz (3)";2218019,36;2119090,15;2380798,35;2731201,3;2924394,08;3017317,26;3005504,13;2996372,21;3007626,75;3221056,85
205011;"Jawor (1)";8183429,16;8935547,3;10273371,04;9236255,01;9321642,16;10043117,91;10250656,02;11279425,1;11376584,06;11456453,82
205023;"Bolków (3)";2129172,51;2322052,47;2697081,22;3863581,84;3329416,81;3444731,3;3671922,27;3612648,82;3728116,37;4053233,13
205032;"Mêcinka (2)";2073060,92;2181362,62;2243621,23;2544987,22;2635203,33;2570975,49;2634877,99;2843621,93;3035341,95;3681727,1
205042;"Mœciwojów (2)";894175,93;969751,54;967759,07;1616577,3;1398644,82;1535900,56;1672866,79;1930549,88;1938663,59;1797926,76
205052;"Paszowice (2)";748515;850152,29;894635,84;1061185,91;1213764,45;1387154,28;1633035,82;1583970,32;1736310;1753182,68
205062;"W¹dro¿e Wielkie (2)";744680,21;776355,02;1311917,25;767031,13;996555,3;936130,3;1194353,92;1249892,05;1306599,25;1336033,93
206011;"Karpacz (1)";5370740,34;6734243,58;11366251,56;10384220,73;11065055,17;11111307,1;11335501,93;11087297,46;11469104,8;11930419,12
206021;"Kowary (1)";5192815,89;5780372,21;6444175,05;6184590,08;7175061,07;5871632,71;6070036,35;6891938,23;7015314,97;7058492,71
206031;"Piechowice (1)";4981467,01;4659742,5;5998833,27;6511353,29;6706691,4;6799565,73;6882360,25;6903020,25;7700322,93;7414033,88
206041;"Szklarska Porêba (1)";6523207,46;7969681,03;9514861,83;9401367,91;10642268,74;10455804,84;10766620,01;10891201,48;11666094,98;12195033,4
206052;"Janowice Wielkie (2)";951978,25;1275305,96;1526853,42;1585684,29;1962287,77;2132847,44;1857589,63;1973842,4;2261023,93;2271584,46
206062;"Je¿ów Sudecki (2)";2142976,69;2254749,74;2382032,97;2684380,48;2724027,38;2700476,22;2885257,24;2886557,47;3035218,47;3237970,51
206072;"Mys³akowice (2)";5112015,29;6716449,64;7991285,83;7572888,63;7143118,31;7646711,88;7548813,99;7429382,27;7201799,58;7793065,56
