"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";6795,97;8174,42;9559,64;9502,4;8755,97;9914,58;14900,55;14988,07;15221,03;14935,93
201022;"Boles³awiec (2)";232054,38;261458,18;316742,91;318352,45;291428;320818,05;408102;405355;414153,95;406626,83
201032;"Gromadka (2)";299074;335535,23;406589,07;405378;370341;418308,46;486604,24;486340,6;506254;495488,2
201043;"Nowogrodziec (3)";74083,49;84018,37;100756,17;99790,17;92547,01;102908,28;138478,94;140136,38;142836,38;140803,05
201052;"Osiecznica (2)";571709,59;653285,26;791971,41;797857,7;739958,95;810321,25;1135244,19;1128997,15;1162680,46;1142148,19
201062;"Warta Boles³awiecka (2)";44098,55;50147,6;59260,08;59605,68;54916,67;63726,25;78469,34;77746,18;79071,4;78255,3
202011;"Bielawa (1)";17675;20506;25134;25205;23156;25524;49152;49461;51026;49706
202021;"Dzier¿oniów (1)";0;0;0;0;0;0;0;0;0;0
202031;"Pieszyce (1)";34468;38981,9;48318,1;48412,01;43942,65;48690,35;;;;
202033;"Pieszyce (3)";;;;;;;94503;95788;98803;96298,99
202041;"Pi³awa Górna (1)";924;1054,92;1276;1276;1161;1281;2428;2513;2592;2525
202052;"Dzier¿oniów (2)";29624,79;33400,25;41892,69;41991,3;38156,9;41835;77636;78658,85;80852,78;79051,19
202062;"£agiewniki (2)";33656;38255;47047,2;47354,5;43827,12;48452,18;93596;94094;97285;94704,22
202073;"Niemcza (3)";19271;21491;25933;24721;22959;25345;48864;49513;51271;50041
203011;"G³ogów (1)";134;148;199;263,88;209;232;405;404;419,5;408,5
203022;"G³ogów (2)";18374,04;20712,13;25067,07;25913,6;23918,02;25720,73;44601,35;44639,75;45822,74;45526,28
203032;"Jerzmanowa (2)";20866,84;23931,38;29011,63;28929,44;26012,32;28317,8;53683,81;52669,61;53663,32;52867,98
203042;"Kotla (2)";58378;66120;79254;80168;73418;80407;144338;143040;147040;143022
203052;"Pêc³aw (2)";11461,79;10897,35;12708,57;13088,81;12055,58;13279,14;22788,74;22776,96;23816,72;23216,62
203062;"¯ukowice (2)";4464,32;4992,7;6120,29;6544,26;5960,5;6550,5;11173,89;10882,87;11384,18;11610,37
204013;"Góra (3)";108332,74;124147,94;151690,46;152986,93;140871,87;155424,02;210990,64;210544,81;220584,56;214757,47
204022;"Jemielno (2)";106479,98;121093;146906;148067;135165,9;147911,1;176699;176616,6;183820,8;177861,6
204032;"Niechlów (2)";46098;52820;65239;64782;59643,2;65514,7;103404,63;103552;109584,3;105736,1
204043;"W¹sosz (3)";94528,1;108736,7;131419,1;132824,6;122709,44;135683,56;166475;164583,12;169706,2;166198,88
205011;"Jawor (1)";20;22;23;19;17;23;19;19;19;19
205023;"Bolków (3)";76906,84;86921,96;105730,66;105464,71;97060,12;107026,85;164215,51;164666,43;169230,01;161870,83
205032;"Mêcinka (2)";68410,73;78278,2;96304,6;95755,32;89353;97433;178477,74;179181,26;185477;179165,9
205042;"Mœciwojów (2)";3647,82;4155,6;4937,6;4795;4559,13;4813,27;6517,01;6898;7206,82;6890,17
205052;"Paszowice (2)";47416;54130;65319;65428;60463,2;66560;108481;108635;112122;109106
205062;"W¹dro¿e Wielkie (2)";5327;5749;7164,23;7448,97;7211;7882,36;11859,64;11668,5;12577,81;12139,5
206011;"Karpacz (1)";26140;30571;36624;37512;34502;38623;54732;54432;56704;54373,45
206021;"Kowary (1)";25955;29449,18;35632;35763;32980,82;37143;70083;69917;71609,4;71084,5
206031;"Piechowice (1)";37300,34;42732,69;50510,99;52415,28;47755,58;54235,52;97942,35;97515,74;100777,51;98325,16
206041;"Szklarska Porêba (1)";56426,57;72650,04;83840,48;84776,67;79087,41;88150,79;153573,71;152242,84;157104,46;153562,11
206052;"Janowice Wielkie (2)";33020,18;36636,67;44091,51;44282,58;39495,02;45044,52;81944,82;81460,49;82941,35;81050,75
206062;"Je¿ów Sudecki (2)";52330,96;55025,68;56947,82;58061,75;54561,82;57553,77;98044,98;97515,87;99362,58;95791,59
206072;"Mys³akowice (2)";48350;55773,57;71805,55;70038,15;64009,71;73586,72;122638,55;124914,13;124573,98;122451,2
206082;"Podgórzyn (2)";55196,95;61477,32;76272,47;75153,52;68285,49;76649,99;136614,33;135905,98;140326,04;134224,65
206092;"Stara Kamienica (2)";55245,64;64379,74;77692,15;78109,3;70794,52;79041,11;140881,97;141155,06;144936,58;141935,23
207011;"Kamienna Góra (1)";3251;3586;4471;4471;4105;4678;9129;9092;9374,87;8992
207022;"Kamienna Góra (2)";61637,89;68766;82851,12;83048,7;76229,41;84954,21;164150,58;163661,37;166785,5;160187,92
207033;"Lubawka (3)";79448,77;88101,23;107029,6;106232,4;97383,8;109646,92;207985,18;206906,17;210757,11;200100
207042;"Marciszów (2)";40197;45399;55079,95;55446,2;51109,27;56712,14;105453,14;106195,54;110124,06;106290,68
208011;"Duszniki-Zdrój (1)";18346;21202,5;25614,4;25650,6;23617,1;25749;49955;49786;51277,7;49705,76
208021;"K³odzko (1)";516,8;921,8;800,5;1132;905;993;1089;1071,2;1075;998
