"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";16431,46;18451,48;33299,25;33777,63;27041,37;27069,09;24706,8;16473,44;22572,73;34431,57
201022;"Boles³awiec (2)";600000,73;639999;903944;950000;965000;860000;790000;852000;827328,57;910013,96
201032;"Gromadka (2)";113535,02;124809,6;245102,8;270525,45;270348,01;251205,5;221414,53;211301,03;191116,13;204992,31
201043;"Nowogrodziec (3)";601893,24;615323,97;1193390,33;1044855,85;1031206,58;1056519,42;1000887,52;983014,52;966242,47;994891,89
201052;"Osiecznica (2)";74797,87;80526,82;105678,12;106578,25;112474,39;113095,67;104399;138220,9;106589,08;110381,03
201062;"Warta Boles³awiecka (2)";516301,03;658402,17;909687,04;959848,97;955818,55;964937,43;978363,94;905300,76;680146,79;770333,87
202011;"Bielawa (1)";114512,91;128308,3;241453,13;268887,38;236039,16;214523,71;186041,74;183227,36;183253,99;192266,49
202021;"Dzier¿oniów (1)";97940,08;114397,7;205337,41;254010,41;209119,5;201373;168764,32;164620,81;162096,4;167146,08
202031;"Pieszyce (1)";179563,5;192907,99;393994,32;399301,88;413252,05;331726,28;;;;
202033;"Pieszyce (3)";;;;;;;328657,77;330707,42;340369,63;368931,27
202041;"Pi³awa Górna (1)";158132,36;169627,76;326404,05;343480,32;333782,34;302092,97;259835,56;258972,17;253728,33;265408,56
202052;"Dzier¿oniów (2)";931522,46;999364,05;2076707,58;2096905,85;1922804,34;1743956,64;1533898,39;1501040,37;1507928,64;1581616,1
202062;"£agiewniki (2)";1101188,35;1161576,91;2181889,62;2278887,22;2147061,1;1978408,52;1807833,27;1770055,96;1713177,27;1780290,12
202073;"Niemcza (3)";305692,26;333847,45;615905,84;893262,11;1046226,17;540102,2;742499,92;742114,51;519470,59;764527,26
203011;"G³ogów (1)";81899,19;38176,82;72662,14;72483,89;84816,24;77492,58;67444,73;61845,17;61674,2;62575,04
203022;"G³ogów (2)";291595,79;328528,18;454530,95;467328,01;554107,46;544366,32;551851,38;609606,85;562484,13;586935,81
203032;"Jerzmanowa (2)";255461,14;278455,02;252801,51;332331,5;311795,5;259947,09;250542,9;316745,08;241917,05;300608,64
203042;"Kotla (2)";342882,37;378105,24;527300,57;531737,12;533241,29;532475,18;549504,03;547696,65;541446,39;547152,37
203052;"Pêc³aw (2)";618600,67;329404,07;666930,97;599995,5;648426,31;632047,04;666913,15;634168,82;604905,07;641142,56
203062;"¯ukowice (2)";526067,52;534532,95;778808,94;831175,86;810818,3;806571,61;853153,89;805671,01;712538,43;819990,36
204013;"Góra (3)";1072482,6;1105222,53;1586491,86;1889355,11;1841411,69;1930950,61;1824356,56;1820527,42;1937974,29;2020619,65
