"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";865521,91;1016059,72;1125411,55;1184106,28;1143744,97;1102810,26;1005526,62;1045579,42;1133008,29;1172608,87
201022;"Boles³awiec (2)";326113,25;386289,91;411377,38;383112,82;370877,48;358993,21;418483,04;435142,97;392055,22;396306,98
201032;"Gromadka (2)";166118;143765,1;156972;161072,8;184384,5;192229,3;209449,4;207629,2;208543,4;212590
201043;"Nowogrodziec (3)";210284,49;203217,14;236886,64;234701,43;246305,98;233290,4;210712,9;196101,1;174598,4;191605,28
201052;"Osiecznica (2)";177959,88;215647,4;229933;248434;298009,4;301237,78;282561;262162,52;258978;281375,1
201062;"Warta Boles³awiecka (2)";286232;315495,65;320336,7;336055,1;336589;361608,93;327929,03;323898,73;327649,4;318210,62
202011;"Bielawa (1)";130489,06;141063,8;159922,33;181978,13;185466,2;219464,48;199889,35;260694,4;253587,89;234375
202021;"Dzier¿oniów (1)";465966,98;338444,35;491016,37;461568,37;523333,45;619923,76;399867;426314;335799,39;335566,09
202031;"Pieszyce (1)";67192,32;67363;67837;91951;68657,8;87353;;;;
202033;"Pieszyce (3)";;;;;;;74883,1;82828;77138,8;91297,84
202041;"Pi³awa Górna (1)";62028,3;83663,59;70450,9;71162,8;65808;76519,14;71141,03;74034,13;56421,26;97731,11
202052;"Dzier¿oniów (2)";10393,32;20222,2;30070,5;28961;43849,19;39934,71;64702;67110,8;71437;98524,9
202062;"£agiewniki (2)";103055,2;106980;103823;137917;149105,7;191386,9;183188,6;191022,6;194820;187648,3
202073;"Niemcza (3)";22330,72;10024,93;12914,51;16496;11902;19398,27;11377;7148,08;16425,92;6819,5
203011;"G³ogów (1)";760885,75;758317,9;787015,69;859669,7;904828,59;931220,86;830806,36;768796,08;698776,79;885744,88
203022;"G³ogów (2)";181868,19;207378,66;136122,5;122034;124798,4;93130;105339,71;100552,89;103774,7;97924,9
203032;"Jerzmanowa (2)";47894,5;52458,2;42792,93;65246,68;47405,69;40901,7;54227,22;60289,88;52624,68;45599,77
203042;"Kotla (2)";19550;17490;22272;30174;33226;30376;26156,23;21401,8;24153,37;29100
203052;"Pêc³aw (2)";16627;5170;4450;4150;4900;4517;4725;4400;4924;5450
203062;"¯ukowice (2)";38867,2;23340;89760;82172;86280,8;87449;89029;86302;67607;37829
204013;"Góra (3)";197029,96;197496,12;238053,28;250068,6;235961,16;257839,06;270118,1;258892,91;322926,38;325058,12
204022;"Jemielno (2)";32393;35981,9;46567,1;42616,9;47564,1;46868;21408,4;23600,8;22244,2;22265,2
204032;"Niechlów (2)";20665,68;21758,5;28888;35240,9;29658,8;21050;23005,01;20661,99;6117;28821
204043;"W¹sosz (3)";47239,21;33188,36;37981,39;53488,95;64735,8;80840,1;78744,6;41713,4;41402,4;48905
205011;"Jawor (1)";256632,8;233059,72;196919,42;287804,75;325578,15;276329,7;600352,7;895591,38;1322068,27;1636157,61
205023;"Bolków (3)";99478,8;93653,8;73736,52;85115,1;77390,98;84023,9;68805,5;92439,72;115349,9;151241,18
205032;"Mêcinka (2)";143904,2;187302,29;182422,19;183406,02;178128,77;132035,07;123123,88;122163,72;156113,73;159810,67
205042;"Mœciwojów (2)";58566,2;73067;56068,2;73611;119594,21;133531,9;77178,49;194516,4;129523;106848,07
205052;"Paszowice (2)";63002,39;76157,9;66590;80321,7;85183;52063;49224;40213;38859;38174
205062;"W¹dro¿e Wielkie (2)";72772;73069,2;79450,6;109676,5;112059;96165,2;98440;106826,33;96980,56;102496,1
206011;"Karpacz (1)";17356,37;34088,74;34349,33;46847,37;48513,8;46401,68;44510,8;46863,58;55703,4;48960,91
206021;"Kowary (1)";177749,51;123183,34;192681,76;147493,2;140516,5;157302,6;148769,56;96536,63;90374,6;79915,31
206031;"Piechowice (1)";25419,33;29793,86;31432,75;35173,98;36485,96;51499,4;29416,55;51353,4;51528,44;29180,34
206041;"Szklarska Porêba (1)";26267,75;21656,51;38341,87;35140,92;31932,01;49524,41;43291,39;50263,68;52457,68;43408,6
206052;"Janowice Wielkie (2)";47012,2;37406,9;53987,9;37358,3;46459,43;40416,4;19964,72;21651,55;20638,86;29387,57
206062;"Je¿ów Sudecki (2)";64784,32;95183,4;112981,62;97652,28;107154,87;110748,5;114312,63;127175,57;140901,55;138211,28
206072;"Mys³akowice (2)";198909,7;228346,74;221313,42;248197,9;216603,15;208848,2;202622,87;148941,86;126472,2;138466,66
206082;"Podgórzyn (2)";81069;113260,2;118468,9;111800,9;111381,15;125661;134302,85;139872;129350;116301
206092;"Stara Kamienica (2)";72172,8;76078,9;74877;86379;85236;55811;264853;1228734,96;1584089,97;2152922,1
207011;"Kamienna Góra (1)";393727,8;395328,2;384601,96;429571,41;415111,23;440922,77;481011,6;531585,73;279619,47;296452,5
207022;"Kamienna Góra (2)";148676,75;146373,8;124965;114924,3;136289,9;155053,6;158322,76;173447,8;138331,21;146373,6
207033;"Lubawka (3)";103467,9;99877,35;101591,6;113797;135891;137064;152986,2;162713,4;177479,4;193334
207042;"Marciszów (2)";40078;42180,2;42552,28;84258,18;89221,4;65739;61892,2;59434,2;82681;77937,6
208011;"Duszniki-Zdrój (1)";18053,6;13633,52;13138,14;7755,7;33006,81;70740,5;38439,32;30047,4;33506,17;35183,6
208021;"K³odzko (1)";411131,88;396540,95;390337,74;404590,68;470123,24;459018,07;425786,05;420822,04;407875,72;375363,43
208031;"Kudowa-Zdrój (1)";85059,2;85072,5;80308,6;97838,22;101152,48;98628,48;87374,12;85650,8;100151,8;72005,6
208041;"Nowa Ruda (1)";118335,7;113250,62;155409,36;141094,82;141027,95;146412,6;147734,14;157773,02;152696,1;224237,91
208051;"Polanica-Zdrój (1)";45049;42298,73;64146,4;60900;53565;54895;64252,57;77746,36;83273,69;78498,78
208063;"Bystrzyca K³odzka (3)";269178,38;298846,74;290749,97;325927;322229,5;331579,39;366186,1;349430,83;346347,43;326164
208072;"K³odzko (2)";275699,4;278947,5;331018,7;339845,6;330512,1;381510,42;318911,2;359896,99;366563,7;366681,6
208083;"L¹dek-Zdrój (3)";81600,61;107988,6;70717,8;77245,4;76420,54;78712,19;134665,95;102986,17;109458,23;97574,17
208092;"Lewin K³odzki (2)";4539;1900;1550;1839;1200;2085;4954;5334;7376;10344
208103;"Miêdzylesie (3)";65960,2;60744;60178,85;60996,55;52465,2;53247,16;53407,41;60872,56;65924,74;60273,23
