"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";75102763,98;86802805,17;79083779,09;87488899,38;96183070,58;97766455,51;96585948,26;100354872,9;100026530,7;110798547,6
201022;"Boles³awiec (2)";19428503,45;21051398,43;21766916,91;27375606,61;26094655,07;31072239,8;29138151,04;36830913,88;34848358,56;38715326,98
201032;"Gromadka (2)";7393224,77;9884481,07;10249851,22;14554525,17;12247691,24;10899408,78;13139743,96;14541539,51;27057940,92;25721571,91
201043;"Nowogrodziec (3)";14559521,97;15576131,56;15572831,59;16566671,29;18830359,23;18569147,18;29417467,57;31883450,73;31788855,91;39134198,61
201052;"Osiecznica (2)";13032420,29;14458103,33;15167854,95;15666393,65;16458138,2;16746467,73;17098022,83;17601816,26;19841729,92;21776258,65
201062;"Warta Boles³awiecka (2)";11584016,08;12046253,42;13365418,25;17078750,59;18266235,48;16269705,86;16155351,58;16070583,09;16794221,3;18054695,18
202011;"Bielawa (1)";38135771,32;43681054,34;44216086,89;48349840,23;52899862,87;54275286,4;58726765,35;60796684,64;61443342,6;70138044,84
202021;"Dzier¿oniów (1)";51733533,08;48169582,55;58603203,52;60061000,01;58196688,77;54941541,12;61744190,73;61774957,23;71171888;81664887,31
202031;"Pieszyce (1)";7810793,84;7735937,85;8580639,18;10119639,59;12097380,85;14010178,59;;;;
202033;"Pieszyce (3)";;;;;;;12676399,25;12756986,62;14856504,24;16636494,2
202041;"Pi³awa Górna (1)";8335425,41;8246808,55;7211791,55;8361580,4;8397608,56;8790657,7;9197868,28;9153569,08;9976844,42;11221924,55
202052;"Dzier¿oniów (2)";11647254,67;10769601,1;11851270,99;11557893,85;12902638,78;14131794,58;12177775,69;13927658,84;15905456,23;16220712,22
202062;"£agiewniki (2)";6274385,65;6041826,21;7900587,48;9282443,32;11322150,05;10269370,55;9415076,27;9696439,76;11367544,73;12636384,32
202073;"Niemcza (3)";7855335,37;7245199,55;6875404,89;7113147,37;8003129,17;7283507,24;6966441,89;7744986,37;7692332,4;11044673,97
203011;"G³ogów (1)";140707356;151617919,1;171033739,5;165515496,4;175764738,2;181673373,9;184604508,5;192843592,8;209547734,4;220202473,5
203022;"G³ogów (2)";11250640,08;10139918,48;11358832,88;12764188,23;14602571,02;16000178,54;16959491,37;18499752,75;21064506,96;22045446,05
203032;"Jerzmanowa (2)";16940159,82;18738795,12;20916844,88;26344238,27;28846291,26;30037009,99;29008049,99;32366375,36;36444736,85;37591134,35
203042;"Kotla (2)";4541238,47;5243480,93;5792962,75;6689837,34;7051640,25;8929795,41;8220204,11;8324449,16;8775655,43;9329098,78
203052;"Pêc³aw (2)";2421145,18;3558745,51;2887791,53;3226360,01;3496019,37;3625338,26;2701181,62;4214441,32;3041925,34;3641754,1
203062;"¯ukowice (2)";4092643,71;7285720,19;4947756,2;6226886,31;7327328,66;7839667,91;8683741,9;8762804,29;11840639,7;10389313,13
204013;"Góra (3)";22853729,29;22517777,84;23564387,22;27108240,36;31229957,68;30860275,9;32555952,66;34743227,48;36343200,03;41203198,29
204022;"Jemielno (2)";2757804,09;3260756,73;4182731,23;3755132,07;4270135,16;3910672,05;3568442,07;3797134,38;3857764,16;5386402,14
204032;"Niechlów (2)";3867918,77;4224400,78;4760011,33;4987329,64;5703012,69;6946781,74;7009839,71;7513087,35;7681848,45;7653772,98
204043;"W¹sosz (3)";8625914,83;8881718,6;8648185,58;10329572,62;11279878,42;10639174,91;10681065,86;11526113,86;12865472,43;12834082,03
205011;"Jawor (1)";32149569,56;35167908,81;37200174,77;38985729,1;41736410,16;46821528,87;47707547,23;50340786,75;49966760,05;49149261,26
205023;"Bolków (3)";7125896,83;7993092,3;9268299,49;11528947,12;11582950,56;11944458,99;12071679,46;13256370,14;14130127,6;15473406,99
205032;"Mêcinka (2)";7007200,05;7275555,23;7627659,39;8218858,41;8713010,6;9695066;8841202,81;10951319,29;12634930,83;14372334,92
205042;"Mœciwojów (2)";6496269,33;4523301,05;5551435,54;6244762,59;6042486,88;8530585,42;7302933;8414406,91;7571357,52;8212910,54
205052;"Paszowice (2)";3482910,68;4106087,4;4345305,99;5258835,11;5878576,65;6694597,42;6923438,23;6739804,94;7535001,09;9269665,78
205062;"W¹dro¿e Wielkie (2)";3941541,27;3553487,13;4869494,11;5083754,8;5618386,18;5633071,98;7160393,03;7786018,14;8904984,75;9763756,79
206011;"Karpacz (1)";28336758,84;18642248,7;25706978,52;22898189,7;25708689,39;25423661,73;25473284,89;26466862,76;30340813,95;30802431,79
206021;"Kowary (1)";12851389,76;12318329,19;14306433,34;15503211,53;17305245,96;16138066,04;21015053,01;19057069,52;19857636,06;20847650,57
206031;"Piechowice (1)";9538232,68;9541076,67;11130761,13;12510440,51;13519844,35;14231742,51;14932637,07;15746168,52;17260083;17391057,15
206041;"Szklarska Porêba (1)";19739748,39;19081807,38;21547375,53;25116390,58;22868510,37;25952938,06;26356446,99;30492668,57;32866058,83;33246468,17
206052;"Janowice Wielkie (2)";4171533,78;7744946,73;5400847,09;6382803,84;6124508,14;6846366,45;6531200,35;7259267,65;7978131,13;9124914,34
206062;"Je¿ów Sudecki (2)";8104191,83;8720190,27;8609575,35;13247568,66;14876493,47;13883116,41;13575793,12;14465179,32;15807892,94;18279527,03
206072;"Mys³akowice (2)";14857478,48;14780615,43;16630871,15;16864912,04;17490608,35;19413310,86;20220314,8;19896390,66;20678003,72;23009737,79
206082;"Podgórzyn (2)";10785989,79;10969352,24;11099478,1;13073808,46;14901096,3;14636884,37;15431407,61;17139587,89;20740128,99;20852342,76
206092;"Stara Kamienica (2)";5291830,79;5095354,63;6014299,45;7360348,56;9763743,46;11008427,47;8858602,68;9770991,29;10934028,66;11531567,12
207011;"Kamienna Góra (1)";26761146,03;31241532,25;29971674,44;31239372,79;30542996,78;31396080,42;32639210,96;35081697,15;37053246,6;40787953,85
207022;"Kamienna Góra (2)";11623557,49;11205841,9;13081357,78;12696641,91;13393642,43;13980689,03;14879219,28;15610779,41;17900854,5;17744171,41
207033;"Lubawka (3)";14092901,96;14926497,84;9627056,3;13367803,96;13378873,51;16971716,03;12850564,69;14383692,18;15102609,59;15327600,28
207042;"Marciszów (2)";6536802,63;13913120,42;6377678,56;5068670,05;5666065,49;6806734;5745370,5;6524391,8;7328787,55;7042261,6
208011;"Duszniki-Zdrój (1)";9214548,07;14004390,28;11610199,03;11436940,14;12121646,08;13672202,79;12309174,37;11320589,28;12827284,79;15110278,81
208021;"K³odzko (1)";46496415,91;52058027,92;54769754,07;50102812,13;56754489,98;51283318,25;52616456,05;54532524,79;57833843,05;59640612,47
208031;"Kudowa-Zdrój (1)";15017887,06;14878358,85;17133103,86;18493227,69;19968561,29;20098874,77;21028153,17;21359196,23;23082325,9;26159089,36
208041;"Nowa Ruda (1)";27595771,87;27434163,77;26272260,69;26736284,02;36084399,28;37163776,39;39321905,79;40287350,43;45735443,14;47106251,52
