"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";1334094,43;3762823,56;1593103,16;2373888,86;2380938,91;2900302,06;3748786,27;4137582,84;5556645,41;5859140,74
201022;"Boles³awiec (2)";63807,5;64868,67;1084,5;4365,76;85770,12;120978,93;186689,77;12756,79;12190,92;17633,35
201032;"Gromadka (2)";33552,55;69989,03;87171,03;89070,33;86020,72;88776,96;56851,28;72477,88;50714,79;65487,24
201043;"Nowogrodziec (3)";3131,04;2625,48;1050,86;1457,98;0,8;6000;14600;12200;21699,72;44288,74
201052;"Osiecznica (2)";10983,86;8792,32;325387,83;452354,86;523470,46;567599,53;602222,71;584375,24;565369,94;554926,54
201062;"Warta Boles³awiecka (2)";0;0;0;0;186573,51;223640,96;181195,45;197834,43;202166,22;250884,29
202011;"Bielawa (1)";7339797,93;7838604,44;6369196,32;5922185,09;5560131,23;5307880,86;5269207,65;5041488,87;5412704,87;5609712,5
202021;"Dzier¿oniów (1)";1286800,65;1645614,32;1710967,35;1715783,79;2133575,48;1805019,7;1993007;1960181,5;3859052,27;3821065,24
202031;"Pieszyce (1)";98321,75;113598,82;117112,27;129135,88;131315,94;193186,13;;;;
202033;"Pieszyce (3)";;;;;;;171985,59;165672,97;196454,8;245044,33
202041;"Pi³awa Górna (1)";12134,2;5730;9860;9731;11451;9376,6;15786,78;31109,58;48837,86;50451,73
202052;"Dzier¿oniów (2)";545361,37;521599,12;603813,51;683318,72;732349,71;742866,33;784246,05;596638,97;558388,2;750179,83
202062;"£agiewniki (2)";179807,47;185393,75;220486,76;215331,74;200855,53;204014,86;49396,06;43355,83;43486,31;52357,1
202073;"Niemcza (3)";60177,32;75361,85;116219,72;115397,78;52460,85;156781,02;154014,08;104411,75;114003,72;123707,46
203011;"G³ogów (1)";3079291,12;2904048,11;2846369,75;2609302,25;2175671,31;2085053,05;1395841,54;1429079,66;1502197,96;1593126,06
203022;"G³ogów (2)";828560,67;922807,47;973365,36;1028742,86;1084650,64;1195291,21;1259734,17;1347054,23;1461332,31;1669414,47
203032;"Jerzmanowa (2)";901892,3;956037,21;1020394,27;1211981,28;1269786,68;818316,18;22157,22;108240,2;123108,93;112036,56
203042;"Kotla (2)";540255,21;611645,51;665013,87;717181,93;736077,8;813990,62;775197,77;799154,24;936598,8;1114667,61
203052;"Pêc³aw (2)";172730,84;226449,28;126253,82;3374,93;2912,24;966,86;1714,4;3465,7;2327,8;14551,68
203062;"¯ukowice (2)";369274,86;378150,99;475917,59;556195,88;574071,74;621125,16;628781,82;637268,38;689969,88;750354,34
204013;"Góra (3)";775226,23;818715,03;923280,08;849245,41;683653,11;690107,11;650422,75;412153,86;689298,36;788102,81
204022;"Jemielno (2)";206067,58;261897,01;191653,82;165592,91;138502,37;127139,73;126606,92;110271,02;107018,07;71555,97
204032;"Niechlów (2)";3377,2;2536,4;3116;2861,6;3945,6;6440;3275,8;3689,2;8948,6;19670,73
204043;"W¹sosz (3)";69434,26;446088,97;226769,57;49417,21;11321,25;14090,22;26014,38;14368,96;24709,27;22484,28
205011;"Jawor (1)";6393904,14;7115167;7798284,63;7644449,67;7333714,91;7583239,5;7735215,15;7756401,15;2161573,85;430839,18
205023;"Bolków (3)";14147,14;104858,26;104339,27;82045,65;46312,28;44870,15;10522,76;13219,45;22268,8;21309,86
205032;"Mêcinka (2)";571445,9;622370,15;806286,95;866775,1;887280,49;927992,15;948066,61;951812,79;1054558,62;1237835,7
205042;"Mœciwojów (2)";79409,75;80876,75;41634,02;37821,81;36656,76;78773,33;34434,63;12838,01;23452,13;12870,72
205052;"Paszowice (2)";374406,18;415003,77;510445,57;603902,55;683155;697487,56;729130,17;755442,1;798479,48;926849,33
205062;"W¹dro¿e Wielkie (2)";13436,86;59722,31;66766,55;60267,05;41119,92;53645,73;734995,69;1504855,38;1413842,71;1470102,77
206011;"Karpacz (1)";159344,01;34973,38;40490,11;34456,79;129327,58;156163,88;331574,44;113706,51;834331,52;1129033,07
206021;"Kowary (1)";234300,91;205872;187147,91;113795,49;84589,35;110936,58;32427,46;27566,65;31014,89;32497,65
206031;"Piechowice (1)";171112,62;282153,42;291670,13;277202,84;239865,64;248823,04;134548,91;103428;125658,3;112054
206041;"Szklarska Porêba (1)";18837,66;134443,66;136601,8;129296,25;121807,5;111682,2;50506,5;51738,95;1106321,59;1181301,42
206052;"Janowice Wielkie (2)";544214,56;598272,85;661371,01;683329,67;720865,63;708457,66;807722,94;902561,14;1042259,85;1179885,16
206062;"Je¿ów Sudecki (2)";550818,66;654962,46;687373,48;759465,93;967453,5;1384890,4;1558824,57;1553924,5;1668534,47;1847028,34
206072;"Mys³akowice (2)";109140,11;83895;95230,18;93034,92;88038,43;98059,48;92550,19;78876,37;22608,59;37344,37
206082;"Podgórzyn (2)";147924,22;139699,49;148789,63;145420,86;139341,55;184260,41;88658,16;100935,7;140628,85;131064,8
206092;"Stara Kamienica (2)";148411,31;151772,14;167622,95;148955,08;107150,06;93424,98;5702,28;14956,85;12363,97;15689,11
207011;"Kamienna Góra (1)";71866,21;585589,57;500212,13;392806,7;288940,1;90347,72;346161,37;357280,37;397103,45;438313,34
207022;"Kamienna Góra (2)";2352465,23;2347506,86;2407957,09;2437947,43;2442516,07;2565213,21;2621450,05;2592459,91;2772711,94;2856129,94
207033;"Lubawka (3)";58590,4;52065,1;45926,12;39355,25;33424,61;34933,3;32531,89;35140,16;33045,5;20184,72
207042;"Marciszów (2)";348093,86;173456,25;260866,07;418878,15;392008,77;414736,61;434811,6;446815,15;470459;467549,11
208011;"Duszniki-Zdrój (1)";199058,53;415743,82;462293,25;1447842,11;366232,41;373952,46;197150,86;165132,17;173843,52;187775,46
208021;"K³odzko (1)";1177479,44;1247650,22;1274938,02;1927545,69;1555979,59;1587994,03;846925,26;730978,91;861095,71;756451,62
208031;"Kudowa-Zdrój (1)";489158,98;505193,77;1776189,92;1663367,27;1519847,18;1352786,94;1141076,31;993856,16;960530,73;910980,49
208041;"Nowa Ruda (1)";945464,93;820334,43;699964,09;716056,18;923037,98;906971,26;856762,64;765495,57;784226,9;897632,89
208051;"Polanica-Zdrój (1)";247958,45;228678,88;235336,18;198127,81;192626,33;174033,99;56028,27;69608,52;72717,69;73241,25
208063;"Bystrzyca K³odzka (3)";545593,05;479355,15;407351,84;386540,12;351528,35;327236,9;183126,02;88527,02;72359;45580,81
208072;"K³odzko (2)";589430,48;786986,04;665030,39;677388,1;831434,34;1168067,08;635751,71;645826,09;761679,59;840132,46
208083;"L¹dek-Zdrój (3)";167646,4;191562,9;181613,7;149378,4;135663,4;121376,5;9844,54;13247;11999;11981
208092;"Lewin K³odzki (2)";66788,46;68971,88;33206,49;305471,38;439380,01;518774,84;443964,6;465545,41;490155,83;463071,72
208103;"Miêdzylesie (3)";27512,05;30474,5;34608,23;27296,78;27807,43;25381,13;23933,85;19712,04;30469,21;121084,95
208112;"Nowa Ruda (2)";241658,12;285463,53;302121,01;174545,58;140354,13;131954,16;77214,12;58405,51;56699,89;54380,55
208123;"Radków (3)";96855,91;207672,48;81307,43;293673,62;1523756,69;488681,38;209526,56;241080,92;271579,58;237886,92
208133;"Stronie Œl¹skie (3)";87681,6;199455,52;280131,91;337032,07;298691,07;299996,44;173412,02;170519,29;172191,74;190386,99
208143;"Szczytna (3)";36577,16;245546,16;218499,5;214444,55;1221006,56;1333198,21;1208711,98;1284605,53;680134,28;37188,9
