Gmina,Powiat,Województwo,Powierzchnia [km²],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km²]
gmina Abramów,lubartowski,lubelskie,"84,6",4124,49
gmina Adamów,łukowski,lubelskie,"98,67",5752,58
gmina Adamów,zamojski,lubelskie,"110,66",4751,43
gmina Adamówka,przeworski,podkarpackie,"134,28",4096,31
gmina Aleksandrów,biłgorajski,lubelskie,"54,26",3272,60
gmina Aleksandrów,piotrkowski,łódzkie,"144,09",4397,31
Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,"7,23",12 335,1706
gmina Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,"131,45",11 683,89
gmina Aleksandrów Łódzki,zgierski,łódzkie,"116,43",30 980,266
gmina Alwernia,chrzanowski,małopolskie,"74,17",12 661,171
gmina Andrespol,łódzki wschodni,łódzkie,"23,34",13 540,580
gmina Andrychów,wadowicki,małopolskie,"100,39",43 853,437
gmina Andrzejewo,ostrowski,mazowieckie,"118,74",4210,35
gmina Annopol,kraśnicki,lubelskie,"151,13",8839,58
Augustów,augustowski,podlaskie,"80,9",30 373,375
gmina Augustów,augustowski,podlaskie,"266,61",6834,26
gmina Babiak,kolski,wielkopolskie,"133,77",7996,60
gmina Babice,chrzanowski,małopolskie,"54,04",9113,169
gmina Babimost,zielonogórski,lubuskie,"92,77",6277,68
gmina Baborów,głubczycki,opolskie,"117,03",6089,52
gmina Baboszewo,płoński,mazowieckie,"162,23",8032,50
gmina Baćkowice,opatowski,świętokrzyskie,"96,13",4919,51
gmina Bakałarzewo,suwalski,podlaskie,"122,56",3130,26
gmina Baligród,leski,podkarpackie,"158,23",3185,20
gmina Bałtów,ostrowiecki,świętokrzyskie,"105,07",3519,33
gmina Banie,gryfiński,zachodniopomorskie,"206,3",6419,31
gmina Banie Mazurskie,gołdapski,warmińsko-mazurskie,"204,96",3820,19
gmina Baranowo,ostrołęcki,mazowieckie,"197,57",6653,34
gmina Baranów,puławski,lubelskie,"84,92",3982,47
gmina Baranów,grodziski,mazowieckie,"75,34",5240,70
gmina Baranów,kępiński,wielkopolskie,"74,41",7909,106
gmina Baranów Sandomierski,tarnobrzeski,podkarpackie,"121,55",11 984,99
gmina Barciany,kętrzyński,warmińsko-mazurskie,"294,08",6384,22
gmina Barcin,żniński,kujawsko-pomorskie,"120,88",14 911,123
gmina Barczewo,olsztyński,warmińsko-mazurskie,"320,01",17 662,55
gmina Bardo,ząbkowicki,dolnośląskie,"73,03",5381,74
gmina Bargłów Kościelny,augustowski,podlaskie,"187,81",5662,30
gmina Barlinek,myśliborski,zachodniopomorskie,"258,72",19 590,76
gmina Bartniczka,brodnicki,kujawsko-pomorskie,"83,4",4738,57
Bartoszyce,bartoszycki,warmińsko-mazurskie,"11,79",24 001,2036
gmina Bartoszyce,bartoszycki,warmińsko-mazurskie,"427,21",10 920,26
gmina Baruchowo,włocławski,kujawsko-pomorskie,"106,74",3517,33
gmina Barwice,szczecinecki,zachodniopomorskie,"258,52",8682,34
gmina Batorz,janowski,lubelskie,"70,84",3379,48
gmina Bądkowo,aleksandrowski,kujawsko-pomorskie,"79,7",4352,55
gmina Bedlno,kutnowski,łódzkie,"126,02",5515,44
gmina Bejsce,kazimierski,świętokrzyskie,"57,48",4133,72
gmina Belsk Duży,grójecki,mazowieckie,"107,51",6561,61
Bełchatów,bełchatowski,łódzkie,"34,64",58 326,1684
gmina Bełchatów,bełchatowski,łódzkie,"180,36",11 048,61
gmina Bełżec,tomaszowski,lubelskie,"33,53",3397,101
gmina Bełżyce,lubelski,lubelskie,"133,97",13 322,99
gmina Besko,sanocki,podkarpackie,"27,48",4498,164
gmina Bestwina,bielski,śląskie,"37,92",11 563,305
gmina Będków,tomaszowski,łódzkie,"57,74",3321,58
Będzin,będziński,śląskie,"37,37",57 555,1540
gmina Będzino,koszaliński,zachodniopomorskie,"166,19",8610,52
