"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";7683;8020;8392;8678;8971;9301;9675;10009;10283;10475
201022;"Boles³awiec (2)";1568;1644;1724;1808;1919;2035;2147;2267;2381;2492
201032;"Gromadka (2)";808;818;841;882;932;963;990;1016;1037;1075
201043;"Nowogrodziec (3)";1993;2072;2123;2202;2275;2334;2431;2524;2595;2677
201044;"Nowogrodziec - miasto (4)";559;592;631;662;697;711;758;788;811;847
201045;"Nowogrodziec - obszar wiejski (5)";1434;1480;1492;1540;1578;1623;1673;1736;1784;1830
201052;"Osiecznica (2)";835;879;914;968;1006;1066;1098;1120;1187;1236
201062;"Warta Boles³awiecka (2)";1068;1124;1161;1233;1294;1332;1393;1469;1539;1598
202011;"Bielawa (1)";6043;6250;6468;6647;6879;7082;7284;7504;7695;7912
202021;"Dzier¿oniów (1)";7154;7356;7655;7831;8099;8368;8634;8824;9042;9288
202031;"Pieszyce (1)";1665;1709;1738;1780;1850;1915;;;;
202033;"Pieszyce (3)";;;;;;;1978;2036;2069;2114
202034;"Pieszyce - miasto (4)";;;;;;;1466;1501;1525;1571
202035;"Pieszyce - obszar wiejski (5)";;;;;;;512;535;544;543
202041;"Pi³awa Górna (1)";1102;1115;1138;1149;1172;1219;1247;1306;1364;1395
202052;"Dzier¿oniów (2)";1417;1461;1509;1587;1627;1694;1745;1793;1862;1934
202062;"£agiewniki (2)";1152;1184;1210;1267;1320;1371;1402;1428;1474;1522
202073;"Niemcza (3)";1058;1063;1074;1128;1176;1191;1198;1235;1267;1304
202074;"Niemcza - miasto (4)";648;655;656;691;726;733;735;742;769;784
202075;"Niemcza - obszar wiejski (5)";410;408;418;437;450;458;463;493;498;520
203011;"G³ogów (1)";9891;10727;11515;12398;13178;14100;14873;15612;16244;16746
203022;"G³ogów (2)";697;730;789;824;890;936;991;1043;1091;1152
203032;"Jerzmanowa (2)";436;457;478;512;532;571;608;653;685;716
203042;"Kotla (2)";593;602;612;628;667;682;705;728;772;801
203052;"Pêc³aw (2)";285;298;306;316;322;334;364;380;393;419
203062;"¯ukowice (2)";470;489;502;520;527;552;560;572;594;612
204013;"Góra (3)";3090;3242;3381;3540;3686;3807;3964;4084;4201;4310
204014;"Góra - miasto (4)";1894;2016;2114;2227;2340;2426;2529;2608;2697;2744
204015;"Góra - obszar wiejski (5)";1196;1226;1267;1313;1346;1381;1435;1476;1504;1566
204022;"Jemielno (2)";481;489;502;512;545;550;556;572;590;610
204032;"Niechlów (2)";778;790;800;807;837;843;867;913;930;929
204043;"W¹sosz (3)";1136;1191;1187;1220;1255;1301;1322;1374;1406;1452
204044;"W¹sosz - miasto (4)";403;427;435;448;469;489;507;531;546;560
204045;"W¹sosz - obszar wiejski (5)";733;764;752;772;786;812;815;843;860;892
205011;"Jawor (1)";3751;3934;4133;4377;4599;4859;5096;5287;5508;5689
205023;"Bolków (3)";1915;1960;2021;2074;2124;2174;2223;2275;2356;2409
205024;"Bolków - miasto (4)";1090;1120;1158;1173;1191;1196;1227;1248;1292;1309
205025;"Bolków - obszar wiejski (5)";825;840;863;901;933;978;996;1027;1064;1100
205032;"Mêcinka (2)";734;755;783;811;845;854;892;937;968;988
205042;"Mœciwojów (2)";695;698;711;719;743;763;771;782;812;828
205052;"Paszowice (2)";606;621;635;649;642;647;678;701;744;778
205062;"W¹dro¿e Wielkie (2)";648;657;674;695;715;706;730;735;762;781
206011;"Karpacz (1)";856;905;939;982;1019;1057;1078;1107;1138;1163
