"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";26085;25647;25160;24720;24307;23955;23410;22958;22498;22215
201022;"Boles³awiec (2)";9098;9194;9302;9364;9381;9362;9357;9387;9460;9433
201032;"Gromadka (2)";3616;3615;3633;3607;3580;3529;3495;3426;3423;3350
201043;"Nowogrodziec (3)";9968;10003;10028;9970;9941;9943;9892;9803;9729;9639
201044;"Nowogrodziec - miasto (4)";2879;2886;2852;2829;2801;2811;2757;2717;2687;2643
201045;"Nowogrodziec - obszar wiejski (5)";7089;7117;7176;7141;7140;7132;7135;7086;7042;6996
201052;"Osiecznica (2)";4910;4888;4905;4899;4888;4823;4807;4720;4657;4635
201062;"Warta Boles³awiecka (2)";5537;5569;5497;5541;5517;5507;5504;5492;5449;5404
202011;"Bielawa (1)";20767;20489;20210;19857;19469;19040;18625;18244;17884;17550
202021;"Dzier¿oniów (1)";22549;22195;21857;21488;21079;20573;20170;19858;19371;18931
202031;"Pieszyce (1)";6264;6233;6196;6155;6085;6074;;;;
202033;"Pieszyce (3)";;;;;;;6012;5895;5850;5736
202034;"Pieszyce - miasto (4)";;;;;;;4515;4432;4403;4322
202035;"Pieszyce - obszar wiejski (5)";;;;;;;1497;1463;1447;1414
202041;"Pi³awa Górna (1)";4409;4405;4411;4369;4358;4282;4223;4121;4050;3955
202052;"Dzier¿oniów (2)";6275;6281;6227;6169;6131;6009;5906;5829;5702;5591
202062;"£agiewniki (2)";4986;4988;4936;4895;4852;4809;4746;4661;4623;4578
202073;"Niemcza (3)";3818;3809;3775;3736;3687;3635;3568;3486;3414;3359
202074;"Niemcza - miasto (4)";1996;2002;1996;1965;1938;1915;1873;1839;1809;1783
202075;"Niemcza - obszar wiejski (5)";1822;1807;1779;1771;1749;1720;1695;1647;1605;1576
203011;"G³ogów (1)";47340;46247;45389;44412;43484;42508;41385;40566;39519;38569
203022;"G³ogów (2)";4160;4239;4263;4274;4280;4315;4323;4309;4289;4303
203032;"Jerzmanowa (2)";2680;2774;2876;2975;3009;3063;3132;3171;3244;3299
203042;"Kotla (2)";2746;2776;2805;2815;2808;2814;2783;2751;2757;2754
203052;"Pêc³aw (2)";1522;1503;1494;1504;1507;1470;1454;1443;1435;1401
203062;"¯ukowice (2)";2391;2375;2356;2335;2316;2280;2264;2236;2208;2189
204013;"Góra (3)";13543;13357;13271;13192;12991;12843;12654;12471;12278;12068
204014;"Góra - miasto (4)";8297;8132;8077;7981;7831;7717;7558;7421;7255;7079
204015;"Góra - obszar wiejski (5)";5246;5225;5194;5211;5160;5126;5096;5050;5023;4989
204022;"Jemielno (2)";2020;2041;2025;2010;1991;1955;1917;1890;1832;1799
204032;"Niechlów (2)";3268;3263;3258;3263;3264;3185;3219;3139;3087;3041
204043;"W¹sosz (3)";4753;4729;4739;4701;4649;4595;4550;4455;4408;4329
204044;"W¹sosz - miasto (4)";1817;1800;1790;1770;1731;1717;1687;1634;1612;1583
204045;"W¹sosz - obszar wiejski (5)";2936;2929;2949;2931;2918;2878;2863;2821;2796;2746
205011;"Jawor (1)";16626;16371;16123;15800;15456;15157;14817;14448;14047;13636
205023;"Bolków (3)";7172;7120;7018;6903;6826;6711;6597;6512;6359;6215
205024;"Bolków - miasto (4)";3535;3497;3429;3351;3292;3223;3140;3093;3008;2953
205025;"Bolków - obszar wiejski (5)";3637;3623;3589;3552;3534;3488;3457;3419;3351;3262
205032;"Mêcinka (2)";3169;3158;3141;3146;3153;3137;3113;3100;3057;3044
205042;"Mœciwojów (2)";2687;2688;2679;2675;2639;2610;2609;2575;2540;2477
205052;"Paszowice (2)";2619;2645;2635;2644;2634;2632;2607;2592;2552;2545
205062;"W¹dro¿e Wielkie (2)";2603;2610;2599;2581;2555;2544;2515;2502;2447;2421
206011;"Karpacz (1)";3437;3375;3366;3299;3239;3172;3050;2964;2861;2780
206021;"Kowary (1)";7751;7667;7521;7385;7187;7011;6849;6676;6516;6361
206031;"Piechowice (1)";4379;4318;4220;4157;4112;4044;3934;3849;3752;3657
206041;"Szklarska Porêba (1)";4686;4619;4566;4491;4429;4289;4188;4124;4011;3949
206052;"Janowice Wielkie (2)";2915;2923;2903;2911;2873;2829;2809;2757;2697;2647
206062;"Je¿ów Sudecki (2)";4531;4602;4604;4669;4639;4617;4638;4610;4640;4625
206072;"Mys³akowice (2)";6738;6692;6692;6671;6625;6576;6549;6465;6400;6330
206082;"Podgórzyn (2)";5420;5376;5403;5370;5358;5293;5237;5133;5074;4996
206092;"Stara Kamienica (2)";3677;3652;3647;3558;3531;3455;3404;3365;3331;3301
207011;"Kamienna Góra (1)";13208;12961;12713;12467;12283;12049;11824;11540;11330;11048
207022;"Kamienna Góra (2)";5877;5954;5974;5973;5936;5911;5857;5813;5751;5715
207033;"Lubawka (3)";7549;7478;7403;7277;7170;7102;7003;6896;6738;6647
207034;"Lubawka - miasto (4)";4171;4126;4070;3988;3914;3877;3819;3731;3653;3596
207035;"Lubawka - obszar wiejski (5)";3378;3352;3333;3289;3256;3225;3184;3165;3085;3051
207042;"Marciszów (2)";3057;3063;3046;3042;3005;2954;2919;2874;2831;2796
208011;"Duszniki-Zdrój (1)";3199;3147;3076;3021;2943;2859;2790;2729;2636;2563
208021;"K³odzko (1)";18342;18073;17757;17366;17058;16746;16425;16105;15779;15521
208031;"Kudowa-Zdrój (1)";6719;6602;6544;6444;6387;6251;6107;6008;5942;5818
208041;"Nowa Ruda (1)";15376;15168;14847;14595;14324;14064;13744;13486;13180;12855
208051;"Polanica-Zdrój (1)";4276;4223;4131;4018;3946;3875;3809;3693;3643;3554
208063;"Bystrzyca K³odzka (3)";13053;12949;12787;12561;12366;12107;11863;11568;11280;11030
208064;"Bystrzyca K³odzka - miasto (4)";6877;6761;6662;6480;6353;6235;6126;5974;5829;5681
208065;"Bystrzyca K³odzka - obszar wiejski (5)";6176;6188;6125;6081;6013;5872;5737;5594;5451;5349
208072;"K³odzko (2)";11433;11423;11445;11467;11364;11153;10973;10820;10652;10471
208083;"L¹dek-Zdrój (3)";5754;5664;5640;5500;5411;5342;5229;5148;5002;4885
208084;"L¹dek-Zdrój - miasto (4)";3965;3892;3855;3729;3659;3592;3490;3438;3335;3240
208085;"L¹dek-Zdrój - obszar wiejski (5)";1789;1772;1785;1771;1752;1750;1739;1710;1667;1645
208092;"Lewin K³odzki (2)";1302;1307;1290;1285;1289;1270;1240;1205;1200;1175
208103;"Miêdzylesie (3)";5038;4991;4975;4895;4807;4721;4632;4523;4446;4372
208104;"Miêdzylesie - miasto (4)";1822;1792;1767;1745;1720;1674;1642;1607;1565;1532
208105;"Miêdzylesie - obszar wiejski (5)";3216;3199;3208;3150;3087;3047;2990;2916;2881;2840
208112;"Nowa Ruda (2)";8034;7978;7970;7865;7766;7683;7564;7421;7270;7140
208123;"Radków (3)";6287;6267;6220;6120;6069;5977;5917;5818;5685;5593
208124;"Radków - miasto (4)";1665;1661;1642;1608;1598;1580;1550;1536;1506;1474
208125;"Radków - obszar wiejski (5)";4622;4606;4578;4512;4471;4397;4367;4282;4179;4119
208133;"Stronie Œl¹skie (3)";5228;5160;5089;5020;4963;4888;4822;4734;4672;4561
208134;"Stronie Œl¹skie - miasto (4)";4063;3988;3913;3850;3789;3710;3642;3548;3492;3403
208135;"Stronie Œl¹skie - obszar wiejski (5)";1165;1172;1176;1170;1174;1178;1180;1186;1180;1158
208143;"Szczytna (3)";5150;5118;5066;5032;4892;4802;4729;4655;4559;4483
208144;"Szczytna - miasto (4)";3700;3667;3614;3589;3470;3391;3328;3276;3192;3128
208145;"Szczytna - obszar wiejski (5)";1450;1451;1452;1443;1422;1411;1401;1379;1367;1355
209011;"Chojnów (1)";9701;9595;9459;9246;9080;8893;8712;8483;8237;7998
209022;"Chojnów (2)";6089;6131;6127;6183;6167;6171;6126;6092;6046;5935
209032;"Krotoszyce (2)";2086;2101;2151;2133;2161;2134;2124;2127;2132;2081
209042;"Kunice (2)";3889;3995;4095;4186;4257;4313;4310;4294;4339;4377
209052;"Legnickie Pole (2)";3277;3278;3269;3227;3233;3206;3210;3176;3164;3139
209062;"Mi³kowice (2)";4142;4156;4147;4169;4167;4156;4124;4131;4135;4122
209073;"Prochowice (3)";5011;4996;4964;4912;4852;4782;4738;4679;4584;4507
209074;"Prochowice - miasto (4)";2490;2468;2428;2376;2337;2294;2256;2225;2175;2134
209075;"Prochowice - obszar wiejski (5)";2521;2528;2536;2536;2515;2488;2482;2454;2409;2373
209082;"Ruja (2)";1641;1649;1650;1639;1636;1620;1596;1573;1543;1518
210011;"Lubañ (1)";14618;14412;14117;13855;13599;13280;12995;12793;12556;12337
210021;"Œwieradów-Zdrój (1)";2951;2873;2812;2734;2670;2598;2568;2505;2467;2403
210033;"Leœna (3)";6871;6834;6834;6800;6710;6603;6476;6363;6264;6116
210034;"Leœna - miasto (4)";3005;2991;2996;2969;2939;2890;2830;2763;2694;2603
210035;"Leœna - obszar wiejski (5)";3866;3843;3838;3831;3771;3713;3646;3600;3570;3513
210042;"Lubañ (2)";4372;4380;4389;4393;4370;4358;4333;4286;4219;4190
