"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";15183;15047;14932;14784;14645;14633;14395;14210;13987;13754
201022;"Boles³awiec (2)";5707;5734;5794;5811;5845;5833;5821;5830;5871;5827
201032;"Gromadka (2)";2182;2212;2237;2237;2255;2266;2244;2193;2190;2115
201043;"Nowogrodziec (3)";6295;6322;6363;6346;6338;6310;6305;6249;6204;6125
201044;"Nowogrodziec - miasto (4)";1734;1741;1748;1746;1744;1743;1732;1712;1694;1671
201045;"Nowogrodziec - obszar wiejski (5)";4561;4581;4615;4600;4594;4567;4573;4537;4510;4454
201052;"Osiecznica (2)";3365;3341;3358;3353;3348;3299;3254;3142;3064;2998
201062;"Warta Boles³awiecka (2)";3446;3453;3420;3476;3467;3468;3466;3461;3428;3389
202011;"Bielawa (1)";12106;11989;11927;11783;11587;11420;11249;11049;10841;10651
202021;"Dzier¿oniów (1)";12984;12803;12755;12630;12444;12174;11967;11824;11520;11272
202031;"Pieszyce (1)";3699;3705;3730;3716;3704;3754;;;;
202033;"Pieszyce (3)";;;;;;;3765;3694;3640;3550
202034;"Pieszyce - miasto (4)";;;;;;;2840;2788;2752;2684
202035;"Pieszyce - obszar wiejski (5)";;;;;;;925;906;888;866
202041;"Pi³awa Górna (1)";2702;2693;2704;2675;2660;2618;2594;2542;2526;2457
202052;"Dzier¿oniów (2)";3728;3750;3717;3714;3730;3683;3632;3603;3508;3441
202062;"£agiewniki (2)";3027;3025;2990;3005;3015;3015;2977;2901;2882;2851
202073;"Niemcza (3)";2286;2276;2245;2228;2204;2176;2120;2062;2021;1979
202074;"Niemcza - miasto (4)";1181;1186;1178;1155;1134;1132;1106;1077;1075;1052
202075;"Niemcza - obszar wiejski (5)";1105;1090;1067;1073;1070;1044;1014;985;946;927
203011;"G³ogów (1)";28005;27639;27483;27334;27082;26785;26275;25933;25294;24607
203022;"G³ogów (2)";2586;2609;2642;2630;2647;2683;2672;2658;2637;2640
203032;"Jerzmanowa (2)";1814;1877;1947;2005;2024;2053;2074;2084;2116;2140
203042;"Kotla (2)";1719;1742;1773;1782;1794;1812;1775;1765;1770;1744
203052;"Pêc³aw (2)";959;944;947;962;972;951;934;939;918;902
203062;"¯ukowice (2)";1490;1472;1451;1460;1452;1424;1419;1412;1384;1372
204013;"Góra (3)";8278;8193;8202;8247;8116;8072;7973;7835;7697;7554
204014;"Góra - miasto (4)";4933;4841;4835;4826;4731;4698;4611;4523;4430;4328
204015;"Góra - obszar wiejski (5)";3345;3352;3367;3421;3385;3374;3362;3312;3267;3226
204022;"Jemielno (2)";1258;1280;1283;1276;1273;1265;1233;1225;1188;1170
204032;"Niechlów (2)";2033;2019;2000;2005;1995;1954;1971;1932;1899;1874
204043;"W¹sosz (3)";2929;2935;2953;2916;2877;2875;2858;2823;2791;2742
204044;"W¹sosz - miasto (4)";1139;1146;1144;1129;1105;1099;1087;1063;1040;1019
204045;"W¹sosz - obszar wiejski (5)";1790;1789;1809;1787;1772;1776;1771;1760;1751;1723
205011;"Jawor (1)";9646;9481;9432;9330;9155;9082;8950;8754;8513;8296
205023;"Bolków (3)";4216;4219;4190;4139;4135;4075;4019;3971;3865;3782
205024;"Bolków - miasto (4)";2050;2043;2012;1973;1950;1901;1864;1842;1780;1756
205025;"Bolków - obszar wiejski (5)";2166;2176;2178;2166;2185;2174;2155;2129;2085;2026
205032;"Mêcinka (2)";1992;1979;1970;1988;1986;1989;1978;1986;1948;1912
