"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";10902;10600;10228;9936;9662;9322;9015;8748;8511;8461
201022;"Boles³awiec (2)";3391;3460;3508;3553;3536;3529;3536;3557;3589;3606
201032;"Gromadka (2)";1434;1403;1396;1370;1325;1263;1251;1233;1233;1235
201043;"Nowogrodziec (3)";3673;3681;3665;3624;3603;3633;3587;3554;3525;3514
201044;"Nowogrodziec - miasto (4)";1145;1145;1104;1083;1057;1068;1025;1005;993;972
201045;"Nowogrodziec - obszar wiejski (5)";2528;2536;2561;2541;2546;2565;2562;2549;2532;2542
201052;"Osiecznica (2)";1545;1547;1547;1546;1540;1524;1553;1578;1593;1637
201062;"Warta Boles³awiecka (2)";2091;2116;2077;2065;2050;2039;2038;2031;2021;2015
202011;"Bielawa (1)";8661;8500;8283;8074;7882;7620;7376;7195;7043;6899
202021;"Dzier¿oniów (1)";9565;9392;9102;8858;8635;8399;8203;8034;7851;7659
202031;"Pieszyce (1)";2565;2528;2466;2439;2381;2320;;;;
202033;"Pieszyce (3)";;;;;;;2247;2201;2210;2186
202034;"Pieszyce - miasto (4)";;;;;;;1675;1644;1651;1638
202035;"Pieszyce - obszar wiejski (5)";;;;;;;572;557;559;548
202041;"Pi³awa Górna (1)";1707;1712;1707;1694;1698;1664;1629;1579;1524;1498
202052;"Dzier¿oniów (2)";2547;2531;2510;2455;2401;2326;2274;2226;2194;2150
202062;"£agiewniki (2)";1959;1963;1946;1890;1837;1794;1769;1760;1741;1727
202073;"Niemcza (3)";1532;1533;1530;1508;1483;1459;1448;1424;1393;1380
202074;"Niemcza - miasto (4)";815;816;818;810;804;783;767;762;734;731
202075;"Niemcza - obszar wiejski (5)";717;717;712;698;679;676;681;662;659;649
203011;"G³ogów (1)";19335;18608;17906;17078;16402;15723;15110;14633;14225;13962
203022;"G³ogów (2)";1574;1630;1621;1644;1633;1632;1651;1651;1652;1663
