"Kod";"Nazwa";"rok_2010";"rok_2011";"rok_2012";"rok_2013";"rok_2014";"rok_2015";"rok_2016";"rok_2017";"rok_2018";"rok_2019"
201011;"Boles³awiec (1)";6541;6452;6299;6205;6186;6117;6082;6117;6154;6182
201022;"Boles³awiec (2)";2898;2876;2873;2823;2792;2707;2706;2737;2785;2774
201032;"Gromadka (2)";1091;1058;1045;1007;971;946;932;903;907;912
201043;"Nowogrodziec (3)";3257;3212;3134;3068;3034;3004;2988;2963;2934;2898
201044;"Nowogrodziec - miasto (4)";767;770;753;739;729;737;722;739;737;717
201045;"Nowogrodziec - obszar wiejski (5)";2490;2442;2381;2329;2305;2267;2266;2224;2197;2181
201052;"Osiecznica (2)";1840;1780;1723;1686;1664;1601;1577;1558;1527;1478
201062;"Warta Boles³awiecka (2)";1710;1677;1666;1645;1688;1674;1696;1704;1655;1630
202011;"Bielawa (1)";4968;4844;4802;4682;4639;4530;4448;4459;4476;4410
202021;"Dzier¿oniów (1)";5314;5287;5167;5109;4990;5005;4981;4971;4931;4918
202031;"Pieszyce (1)";1764;1746;1744;1691;1651;1639;;;;
202033;"Pieszyce (3)";;;;;;;1643;1619;1573;1560
202034;"Pieszyce - miasto (4)";;;;;;;1249;1237;1208;1202
202035;"Pieszyce - obszar wiejski (5)";;;;;;;394;382;365;358
202041;"Pi³awa Górna (1)";1294;1256;1200;1178;1172;1132;1099;1052;1043;1044
202052;"Dzier¿oniów (2)";1703;1671;1617;1583;1577;1547;1548;1563;1574;1567
202062;"£agiewniki (2)";1438;1424;1394;1376;1359;1361;1347;1369;1352;1338
202073;"Niemcza (3)";1034;996;956;936;903;873;845;824;821;807
202074;"Niemcza - miasto (4)";510;487;471;465;443;414;409;400;396;396
202075;"Niemcza - obszar wiejski (5)";524;509;485;471;460;459;436;424;425;411
203011;"G³ogów (1)";12399;12285;12281;12187;12174;12058;12034;12001;11852;11665
203022;"G³ogów (2)";1374;1394;1398;1339;1268;1287;1288;1311;1354;1336
203032;"Jerzmanowa (2)";1032;1088;1095;1110;1125;1109;1128;1101;1113;1141
203042;"Kotla (2)";975;963;963;948;963;965;942;936;901;900
203052;"Pêc³aw (2)";559;558;535;507;486;477;481;461;446;439
203062;"¯ukowice (2)";765;744;729;698;686;684;674;659;644;660
204013;"Góra (3)";4377;4256;4134;3962;3877;3776;3688;3622;3558;3500
204014;"Góra - miasto (4)";2436;2355;2301;2195;2145;2074;1997;1965;1907;1855
204015;"Góra - obszar wiejski (5)";1941;1901;1833;1767;1732;1702;1691;1657;1651;1645
204022;"Jemielno (2)";668;650;649;632;635;625;593;589;588;588
204032;"Niechlów (2)";1139;1122;1099;1017;1013;976;942;933;922;870
204043;"W¹sosz (3)";1592;1600;1580;1535;1493;1484;1443;1431;1382;1374
204044;"W¹sosz - miasto (4)";560;582;594;589;574;565;539;523;514;517
204045;"W¹sosz - obszar wiejski (5)";1032;1018;986;946;919;919;904;908;868;857
205011;"Jawor (1)";4009;3935;3840;3760;3712;3634;3560;3531;3501;3433
205023;"Bolków (3)";2104;2005;1959;1895;1873;1831;1811;1824;1788;1764
205024;"Bolków - miasto (4)";892;843;822;790;770;736;726;706;701;705
205025;"Bolków - obszar wiejski (5)";1212;1162;1137;1105;1103;1095;1085;1118;1087;1059
205032;"Mêcinka (2)";1040;1042;1034;1011;993;980;966;964;966;975
205042;"Mœciwojów (2)";838;812;787;787;778;752;755;756;742;749
205052;"Paszowice (2)";746;753;756;722;720;709;695;683;671;674
205062;"W¹dro¿e Wielkie (2)";847;839;828;821;789;751;741;743;725;710
206011;"Karpacz (1)";752;719;702;687;663;653;642;640;634;627
206021;"Kowary (1)";2000;1949;1929;1858;1825;1782;1731;1708;1664;1632
206031;"Piechowice (1)";1087;1069;1034;1023;1013;986;961;943;924;898
206041;"Szklarska Porêba (1)";1029;987;941;937;903;862;854;899;901;917
206052;"Janowice Wielkie (2)";711;697;672;682;679;682;686;704;711;716
206062;"Je¿ów Sudecki (2)";1366;1343;1353;1368;1353;1352;1356;1347;1348;1379
206072;"Mys³akowice (2)";1934;1900;1879;1872;1810;1811;1787;1722;1707;1689
206082;"Podgórzyn (2)";1368;1383;1377;1365;1331;1275;1258;1270;1245;1255
206092;"Stara Kamienica (2)";1028;982;956;933;904;894;878;872;859;831
207011;"Kamienna Góra (1)";3608;3502;3406;3232;3171;3100;3021;3016;2945;2866
207022;"Kamienna Góra (2)";1863;1859;1815;1811;1749;1726;1727;1712;1683;1646
207033;"Lubawka (3)";2176;2130;2041;1943;1857;1803;1796;1752;1712;1666
207034;"Lubawka - miasto (4)";1167;1155;1123;1073;1030;1003;991;961;951;902
207035;"Lubawka - obszar wiejski (5)";1009;975;918;870;827;800;805;791;761;764
207042;"Marciszów (2)";928;916;857;827;812;798;800;783;766;761
208011;"Duszniki-Zdrój (1)";793;766;759;712;702;678;675;659;663;628
208021;"K³odzko (1)";4718;4623;4469;4302;4216;4178;4070;4057;3948;3894
208031;"Kudowa-Zdrój (1)";1762;1726;1689;1649;1627;1612;1594;1551;1498;1462
208041;"Nowa Ruda (1)";3772;3641;3540;3434;3348;3273;3244;3207;3172;3076
208051;"Polanica-Zdrój (1)";990;963;947;931;904;873;878;857;824;816
208063;"Bystrzyca K³odzka (3)";3337;3279;3171;3089;3032;2985;2951;2925;2968;2915
208064;"Bystrzyca K³odzka - miasto (4)";1779;1754;1708;1668;1622;1606;1597;1571;1598;1547
