"","X","gmina","wynik","powiat","id","longitude","latitude","water","vegetation"
"1",1,"Warszawa",1,"Warszawa",1465011,21.0122287,52.2296756,0,0
"2",2,"Poznañ",1,"Poznañ",3064011,16.9251681,52.406374,10.900059,0.00344033333333333
"3",3,"Katowice",1,"Katowice",2469011,19.0237815,50.2648919,5.4500295,0.00172016666666667
"4",4,"Wroc³aw",1,"Wroc³aw",264011,17.0385376,51.1078852,0.000336166666666667,0.0112181666666667
"5",5,"Kraków",1,"Kraków",1261011,19.9449799,50.0646501,4.08760616666667,0.00409466666666667
"6",6,"Gliwice",1,"Gliwice",2466011,18.6713802,50.2944923,4.08760616666667,0.00409466666666667
"7",7,"Sopot",1,"Sopot",2264011,18.5600956,54.441581,8e-07,0.0359825
"8",8,"Gdañsk",1,"Gdañsk",2261011,18.6466384,54.3520252,8e-07,0.0359825
"9",9,"Rzeszów",1,"Rzeszów",1863011,21.9991196,50.0411867,3.065704825,0.012066625
"10",10,"Opole",1,"Opole",1661011,17.9230651,50.6683223,0.000214,0.00301933333333333
"11",11,"Bielsko-Bia³a",1,"Bielsko-Bia³a",2461011,19.0583845,49.8223768,2.7591557425,0.0111618958333333
"12",12,"Krosno",1,"Krosno",1861011,21.7660531,49.6824761,2.7591557425,0.0111618958333333
"13",13,"¯ory",0,"¯ory",2479011,18.7006401,50.0447236,2.7591557425,0.0111618958333333
"14",14,"Sosnowiec",0,"Sosnowiec",2475011,19.1040791,50.2862638,2.7591557425,0.0111618958333333
"15",15,"Jastrzêbie-Zdrój",0,"Jastrzêbie-Zdrój",2467011,18.6101103,49.9454207,2.7591557425,0.0111618958333333
"16",16,"Grudzi¹dz",0,"Grudzi¹dz",462011,18.7535649,53.4837486,0.006343,0.1309916
"17",17,"Bia³a Podlaska",0,"Bia³a Podlaska",661011,23.1445026,52.0387126,4.66666666666667e-05,2.83333333333333e-05
"18",18,"Tarnobrzeg",0,"Tarnobrzeg",1864011,21.6790698,50.5729079,2.43492504730392,0.0175557865196078
"19",19,"Zabrze",0,"Zabrze",2478011,18.7857186,50.3249278,2.43492504730392,0.0175557865196078
"20",20,"Siemianowice Œl¹skie",0,"Siemianowice Œl¹skie",2474011,19.0295714,50.3264314,2.43492504730392,0.0175557865196078
"21",21,"Che³m",0,"Che³m",662011,23.4711986,51.1431232,2.43492504730392,0.0175557865196078
"22",22,"Piekary Œl¹skie",0,"Piekary Œl¹skie",2471011,18.9270475,50.3789108,2.43492504730392,0.0175557865196078
"23",23,"Bytom",0,"Bytom",2462011,18.9157176,50.3483816,2.43492504730392,0.0175557865196078
"24",24,"Œwiêtoch³owice",0,"Œwiêtoch³owice",2476011,18.9171298,50.2964328,2.43492504730392,0.0175557865196078
"25",25,"gmina Karpacz",1,"jeleniogórski",206011,15.7391449,50.7521427,0.000298666666666667,0.075138
"26",26,"gmina Krynica Morska",1,"nowodworski",2210011,19.445897,54.3828806,3.75e-07,0.000276625
"27",27,"gmina Sucha Beskidzka",1,"suski",1215021,19.595515,49.741728,2.2476346221908,0.0191059039027149
"28",28,"gmina Z³otów",1,"z³otowski",3031011,17.0387342,53.3588446,26.076048375,0.674336625
"29",29,"gmina Pruszcz Gdañski",1,"gdañski",2204011,18.6486989,54.2558496,8e-07,0.0359825
"30",30,"gmina Lubawa",1,"i³awski",2807021,19.7785666,53.5547212,8.57142857142857e-07,4.5e-06
"31",31,"gmina Bieruñ",1,"bieruñsko-lêdziñski",2414011,19.09291,50.08999,2.89207282770981,0.0408727676791101
"32",32,"gmina £eba",1,"lêborski",2208021,17.5579557,54.7556157,0.210815,0.601942
"33",33,"gmina ¯ywiec",1,"¿ywiecki",2417011,19.1823983,49.6912999,2.80828352059388,0.0584061811891379
"34",34,"gmina Mielec",1,"mielecki",1811011,21.4441947,50.2922018,2.80828352059388,0.0584061811891379
"35",35,"gmina Szczawno-Zdrój",1,"wa³brzyski",221031,16.2481333,50.8006263,0.000208,0.039955
"36",36,"gmina Oœwiêcim",1,"oœwiêcimski",1213011,19.2490585,49.9955282,2.72805279143406,0.057879004583734
"37",37,"gmina Gozdnica",0,"¿agañski",810011,15.0831463,51.4556245,71.48679,0.016328
"38",38,"gmina Grybów",0,"nowos¹decki",1210011,20.9476056,49.6092017,4.58639704031422,0.0567560044598493
"39",39,"gmina £askarzew",0,"garwoliñski",1403021,21.6022688,51.7874383,0,0
"40",40,"gmina Dynów",0,"rzeszowski",1816011,22.2270519,49.8090559,4.4687971162036,0.0553007222942121
"41",41,"gmina Kalety",0,"tarnogórski",2413011,18.943124,50.5609123,4.4687971162036,0.0553007222942121
"42",42,"gmina Pi³awa Górna",0,"dzier¿oniowski",202041,16.7525932,50.6927144,0.000117333333333333,0.004772
"43",43,"gmina Pszów",0,"wodzis³awski",2415011,18.3859548,50.0392924,4.36239997851621,0.0540976574776833
"44",44,"gmina Wojcieszów",0,"z³otoryjski",226011,15.921893,50.9615193,3.3667595,0.0472636666666667
"45",45,"gmina Boguszów-Gorce",0,"wa³brzyski",221011,16.1996614,50.751517,0.000208,0.039955
"46",46,"gmina Nieszawa",0,"aleksandrowski",401031,18.8950771,52.8344014,0.00593675,4.75833333333333e-05
"47",47,"gmina Porêba",0,"zawierciañski",2416011,19.3461172,50.4922594,4.15121963752602,0.052466641772617
"48",48,"gmina Rejowiec Fabryczny",0,"che³mski",603011,23.2506815,51.1186472,4.15121963752602,0.052466641772617
"49",49,"gmina Polkowice",1,"polkowicki",216043,16.0605878,51.4897412,6.73322033333333,0.0193893333333333
"50",50,"gmina O¿arów Mazowiecki",1,"warszawski zachodni",1432063,20.7774829,52.2252425,0,0
"51",51,"gmina Stryków",1,"zgierski",1020083,19.5859845,51.8963224,0.000430166666666667,1e-06
"52",52,"gmina Kórnik",1,"poznañski",3021093,17.0791478,52.2114584,5.4500855,0.007753
"53",53,"gmina B³onie",1,"warszawski zachodni",1432013,20.5802125,52.1947336,0,0
"54",54,"gmina Nowe Skalmierzyce",1,"ostrowski",3017023,17.9501479,51.7178238,0.00331616666666667,0.0144116666666667
"55",55,"gmina Zb¹szynek",1,"œwiebodziñski",808063,15.8163595,52.2609156,75.931777,0.00931085714285714
"56",56,"gmina Miêdzyzdroje",1,"kamieñski",3207043,14.4439998,53.8803314,82.5208388125,9.2875e-05
"57",57,"gmina Dziwnów",1,"kamieñski",3207013,14.7561412,54.0139124,86.870049,0.00016375
"58",58,"gmina Swarzêdz",1,"poznañski",3021163,17.1080328,52.4372724,5.4500855,0.007753
"59",59,"gmina Goleniów",1,"goleniowski",3204023,14.7775541,53.5618144,90.28933775,6.975e-05
"60",60,"gmina Rzgów",1,"³ódzki wschodni",1006103,18.0795166,52.1565323,0.0114993333333333,0.0060355
"61",61,"gmina Goni¹dz",0,"moniecki",2008013,22.7547101,53.5452319,3.33333333333333e-06,0.0558923333333333
"62",62,"gmina Annopol",0,"kraœnicki",607023,21.879254,50.8920319,9.05769156552594,0.043266751976423
"63",63,"gmina Brzostek",0,"dêbicki",1803023,21.4063065,49.9118914,9.05769156552594,0.043266751976423
"64",64,"gmina Nowogród",0,"³om¿yñski",2007043,21.8830228,53.2165104,0,5.66666666666667e-06
"65",65,"gmina Jedwabne",0,"³om¿yñski",2007013,22.3921798,53.2985834,0,5.66666666666667e-06
"66",66,"gmina Frampol",0,"bi³gorajski",602053,22.7424204,50.6529238,8.77899336350976,0.0419356416591997
"67",67,"gmina Wyœmierzyce",0,"bia³obrzeski",1401063,20.7766236,51.6065795,0,0
"68",68,"gmina Lubomierz",0,"lwówecki",212023,15.530945,51.0046778,3.3667595,0.0472636666666667
"69",69,"gmina Dobrzyñ nad Wis³¹",0,"lipnowski",408043,19.3102073,52.6615728,0.000860333333333333,1e-06
"70",70,"gmina Sêpopol",0,"bartoszycki",2801063,21.0058204,54.290804,0,0
"71",71,"gmina Ryglice",0,"tarnowski",1216063,21.1836995,49.9010117,8.32544545464253,0.0402145288024836
"72",72,"gmina Lipsk",0,"augustowski",2001043,23.4777881,53.7643226,8.05561383333333,0.0372753333333333
